获奖年度,获奖奖种,获奖编号,获奖项目名称,项目完成单位
2022,科学技术进步奖,2022-J06-2-14-D02,先天性脊柱畸形诊疗体系的建立与推广,复旦大学附属妇产科医院
2022,科学技术进步奖,2022-J09-2-03-R08,提升分布式新能源消纳能力的精细化建模与防控技术应用,无
2022,科学技术进步奖,2022-J01-2-07-R01,面向工业物联网的全自主射频识别系统关键技术及应用,无
2022,科学技术进步奖,2022-J09-1-02-D01,面向智慧海关的薄壁能谱CT实时精准无感通关关键技术及应用,清华大学
2022,科学技术进步奖,2022-J11-2-05-D05,城镇道路路面废弃物高值化利用技术、装备及产业化,北京路新沥青混凝土有限公司
2022,科学技术进步奖,2022-J12-2-06-R07,大城市蔬菜采后供应链品质控制关键技术与应用,无
2022,科学技术进步奖,2022-J06-1-03-R04,环骨盆严重创伤智能化微创救治体系和临床应用,无
2022,科学技术进步奖,2022-J08-2-04-R03,HP-胃炎-癌前病变中西医协作诊疗体系的创建和推广应用,无
2022,科学技术进步奖,2022-J06-2-01-D05,全主动脉腔内诊疗体系的构建与应用,慧影医疗科技（北京）股份有限公司
2022,科学技术进步奖,2022-J03-1-01-R04,新能源汽车用钢中大颗粒夹杂物控制关键技术,无
2022,技术发明奖,2022-F04-1-01-D02,电动车辆宽温域动力电池主动热管控及产业应用技术体系,荣盛盟固利新能源科技股份有限公司
2022,科学技术进步奖,2022-J09-2-04-D03,面向多应用场景的高性能燃料电池关键技术自主化突破与批量制造,广东利元亨智能装备股份有限公司
2022,科学技术进步奖,2022-J05-2-01-R07,在役深水水下井口系统智能安全运维关键技术与应用,无
2022,技术发明奖,2022-F03-2-01-R09,极端环境核磁共振科学仪器研制及工业应用,无
2022,科学技术进步奖,2022-J11-1-02-D10,装配式轨道技术研发及产业化,陕西长美科技有限责任公司
2022,科学技术进步奖,2022-J01-2-07-D04,面向工业物联网的全自主射频识别系统关键技术及应用,北京智芯半导体科技有限公司
2022,科学技术进步奖,2022-J04-2-02-D05,植被病虫害遥感监测预警与防控关键技术及应用,北京市园林绿化资源保护中心（北京市园林绿化局审批服务中心）
2022,技术发明奖,2022-F06-2-01-D05,鸭坦布苏病毒病防控关键技术及应用,北京市动物疫病预防控制中心
2022,自然科学奖,2022-Z03-2-05-R06,基于准金属纳米结构的表面增强拉曼光谱分析研究,无
2022,科学技术进步奖,2022-J06-2-04-R09,冠心病CT智慧诊断体系的创建及应用,无
2022,自然科学奖,2022-Z04-1-02-R07,迁移体的发现及机制与功能研究,无
2022,科学技术进步奖,2022-J09-1-02-R10,面向智慧海关的薄壁能谱CT实时精准无感通关关键技术及应用,无
2022,技术发明奖,2022-F02-1-01-R13,多能流综合能量管理关键技术、系统及其应用,无
2022,科学技术进步奖,2022-J12-2-02-R09,森林火灾精细化预警关键技术和应用,无
2022,自然科学奖,2022-Z01-2-02-R07,超滑界面超快摩擦能量耗散检测与调控,无
2022,科学技术进步奖,2022-J02-2-01-R07,面向媒体智能的跨模态多语言关键技术及产业化应用,无
2022,技术发明奖,2022-F06-2-01-D03,鸭坦布苏病毒病防控关键技术及应用,中国兽医药品监察所
2022,科学技术进步奖,2022-J11-2-07-D03,公路桥梁服役状态智能评估与韧性提升关键技术,中交基础设施养护集团有限公司
2022,科学技术进步奖,2022-J06-1-01-R13,多种新发人兽共患病流行与防控关键技术研究与应用,无
2022,科学技术进步奖,2022-J12-1-01-R04,广明2号白羽肉鸡新种源创制与基因组育种技术体系构建,无
2022,科学技术进步奖,2022-J01-1-01-D02,航空遥感系统国家重大科技基础设施,中航西飞民用飞机有限责任公司
2022,技术发明奖,2022-F02-1-01-R14,多能流综合能量管理关键技术、系统及其应用,无
2022,自然科学奖,2022-Z05-2-07-D05,泥页岩孔-缝系统分形机制与三维重构及含油气性机理,中国石油天然气股份有限公司勘探开发研究院
2022,科学技术进步奖,2022-J11-2-06-R06,超大城市交通视觉大数据高效表达与运行决策关键技术与应用,无
2022,科学技术进步奖,2022-J10-1-01-R14,大跨度建筑索结构关键技术与工程应用,无
2022,自然科学奖,2022-Z01-2-04-R04,跨尺度场调控新型光子效应与应用,无
2022,科学技术进步奖,2022-J09-2-04-D05,面向多应用场景的高性能燃料电池关键技术自主化突破与批量制造,同济大学
2022,科学技术进步奖,2022-J11-1-02-R12,装配式轨道技术研发及产业化,无
2022,科学技术进步奖,2022-J03-1-01-R15,新能源汽车用钢中大颗粒夹杂物控制关键技术,无
2022,科学技术进步奖,2022-J01-1-01-R05,航空遥感系统国家重大科技基础设施,无
2022,自然科学奖,2022-Z04-2-05-R08,遗传性神经肌肉病的新致病基因鉴定和发病机制研究,无
2022,自然科学奖,2022-Z04-2-01-R02,高等植物避荫反应分子调控机理解析,无
2022,科学技术进步奖,2022-J13-2-01-D03,科幻电影中的科学普及与科教融合,南方科技大学
2022,科学技术进步奖,2022-J02-2-05-R09,远程健康服务关键技术及产业化应用,无
2022,技术发明奖,2022-F02-1-01-R03,多能流综合能量管理关键技术、系统及其应用,无
2022,科学技术进步奖,2022-J02-1-01-D02,高速铁路轨道几何参数高精度高动态检测关键技术与应用,北京理工大学
2022,科学技术进步奖,2022-J11-2-06-D07,超大城市交通视觉大数据高效表达与运行决策关键技术与应用,北京竞业达数码科技股份有限公司
2022,科学技术进步奖,2022-J11-1-03-D06,电动汽车底盘运动控制与能量管理关键技术及应用,北京经纬恒润科技股份有限公司
2022,科学技术进步奖,2022-J09-1-01-R06,大规模新能源柔性直流送出关键技术及应用,无
2022,科学技术进步奖,2022-J05-2-06-D07,应急医学救援复杂环境信息感知与决策关键技术及应用推广,中日友好医院
2022,技术发明奖,2022-F01-2-01-R06,主动免疫安全可信网关的研制与规模化商用,无
2022,科学技术进步奖,2022-J10-2-02-R04,面向岩土构筑物安全监测的微芯智能传感研发应用与产业化,无
2022,科学技术进步奖,2022-J05-2-04-R05,能源装备超大型铸锻承载结构件关键成形技术及应用,无
2022,科学技术进步奖,2022-J09-2-04-D01,面向多应用场景的高性能燃料电池关键技术自主化突破与批量制造,国家电投集团氢能科技发展有限公司
2022,科学技术进步奖,2022-J06-2-15-R08,肿瘤分子病理关键技术创新与推广应用,无
2022,科学技术进步奖,2022-J07-2-02-D03,非交联细胞外基质源生物材料技术平台开发与系列化医疗器械产业化,天津医科大学第二医院
2022,科学技术进步奖,2022-J02-2-03-D01,移动应用安全保护、检测和感知关键技术及应用,北京梆梆安全科技有限公司
2022,科学技术进步奖,2022-J05-1-01-R10,大型载人密封舱结构低应力关键制造技术与应用,无
2022,技术发明奖,2022-F06-2-03-R06,油基钻井液用关键处理剂的研制与工业化应用,无
2022,科学技术进步奖,2022-J08-1-01-R01,中药材生态种植理论和技术体系的构建及示范应用,无
2022,科学技术进步奖,2022-J04-2-06-R04,海绵城市源头设施效能提升与布局优化关键技术研究与实践,无
2022,科学技术进步奖,2022-J02-2-07-R03,空天地协同的视觉智能关键技术及应用,无
2022,科学技术进步奖,2022-J02-2-15-D01,航天复杂装备全生命周期数字化协同研制关键技术与应用,北京神舟航天软件技术股份有限公司
2022,科学技术进步奖,2022-J06-2-05-R01,直肠癌疗效和预后评价的影像学技术创新与应用,无
2022,科学技术进步奖,2022-J02-2-08-R03,复杂电力通信环境下量子密钥分发与组网关键技术、装备与应用,无
2022,自然科学奖,2022-Z01-2-01-R02,新时代的张量网络计算理论与方法：从机器学习到量子计算,无
2022,科学技术进步奖,2022-J09-2-01-D04,盐下大型厚层碳酸盐岩油藏1500万吨产能建设关键技术创新及应用,北京奥能恒业能源技术有限公司
2022,科学技术进步奖,2022-J05-2-02-R03,我国首个空间天文台科学数据系统的研发和应用,无
2022,科学技术进步奖,2022-J11-2-09-D01,高速列车车顶高压电气系统绝缘优化及运维技术与应用,北京交通大学
2022,科学技术进步奖,2022-J04-2-03-D01,国产高分十米级分析即用数据集生成技术及其应用,中国科学院空天信息创新研究院
2022,科学技术进步奖,2022-J09-2-04-R05,面向多应用场景的高性能燃料电池关键技术自主化突破与批量制造,无
2022,科学技术进步奖,2022-J06-2-01-D04,全主动脉腔内诊疗体系的构建与应用,杭州唯强医疗科技有限公司
2022,科学技术进步奖,2022-J01-2-06-R08,高速大容量光纤传感系统关键技术及应用,无
2022,自然科学奖,2022-Z04-2-02-R03,基于脑电生理信号的跨物种疼痛建模与特异性标记物研究,无
2022,科学技术进步奖,2022-J02-2-08-R01,复杂电力通信环境下量子密钥分发与组网关键技术、装备与应用,无
2022,科学技术进步奖,2022-J11-2-10-R04,超高速、大流量、高效率液体火箭发动机涡轮泵关键技术及应用,无
2022,科学技术进步奖,2022-J12-2-03-R08,白蜡窄吉丁成灾机制与综合防控技术研究及应用,无
2022,技术发明奖,2022-F04-2-02-D03,复杂航天器电气系统设计、建模与验证关键技术及应用,中国科学院空天信息创新研究院
2022,科学技术进步奖,2022-J06-1-03-R10,环骨盆严重创伤智能化微创救治体系和临床应用,无
2022,科学技术进步奖,2022-J09-1-02-R06,面向智慧海关的薄壁能谱CT实时精准无感通关关键技术及应用,无
2022,技术发明奖,2022-F02-2-02-R04,大面积钙钛矿成膜技术及其应用,无
2022,科学技术进步奖,2022-J06-2-12-R06,基于质谱技术的内分泌代谢病精准检测平台构建与推广应用,无
2022,技术发明奖,2022-F01-2-01-R07,主动免疫安全可信网关的研制与规模化商用,无
2022,科学技术进步奖,2022-J09-2-04-D07,面向多应用场景的高性能燃料电池关键技术自主化突破与批量制造,北京理工大学
2022,自然科学奖,2022-Z05-2-08-R01,页岩流体限域效应的理论研究,无
2022,科学技术进步奖,2022-J06-2-10-R08,儿童肝脏移植的技术创新与推广应用,无
2022,技术发明奖,2022-F03-2-02-R04,空间探测用轻质烧蚀防热材料技术及应用,无
2022,科学技术进步奖,2022-J02-2-04-R04,城市大脑软硬一体化基础平台关键技术研究及应用,无
2022,科学技术进步奖,2022-J06-2-05-R08,直肠癌疗效和预后评价的影像学技术创新与应用,无
2022,科学技术进步奖,2022-J10-2-04-R03,既有沥青路面精准检测评价、长寿命设计方法及工程应用,无
2022,科学技术进步奖,2022-J11-2-04-R03,基于云平台的轨道交通智慧关键技术研发与应用,无
2022,科学技术进步奖,2022-J01-2-06-D01,高速大容量光纤传感系统关键技术及应用,北京信息科技大学
2022,科学技术进步奖,2022-J07-1-01-D07,脑细胞外间隙成像探测技术与应用,深圳市特深电气有限公司
2022,科学技术进步奖,2022-J05-2-02-R06,我国首个空间天文台科学数据系统的研发和应用,无
2022,技术发明奖,2022-F06-2-02-R10,非常规油气藏长水平井快速成像探测关键技术与应用,无
2022,科学技术进步奖,2022-J10-2-03-D06,地铁暗挖工程帷幕止水建造关键技术研究与应用,北京京能地质工程有限公司
2022,技术发明奖,2022-F06-2-03-D01,油基钻井液用关键处理剂的研制与工业化应用,中石化石油工程技术研究院有限公司
2022,科学技术进步奖,2022-J11-2-03-R06,面向复杂场景的AMT重型商用车开发关键技术及应用,无
2022,自然科学奖,2022-Z04-2-07-D03,胰腺肿瘤影像特征机制研究与技术创新应用,中国科学院自动化研究所
2022,科学技术进步奖,2022-J07-2-01-R07,创新药物临床前安全性评价关键新技术的建立与应用,无
2022,技术发明奖,2022-F06-1-01-R15,玉米新型育种和制种技术及其应用,无
2022,科学技术进步奖,2022-J02-1-05-R15,沉浸式视频编解码关键技术与应用,无
2022,自然科学奖,2022-Z03-1-01-D02,冰晶形成机制研究与应用,中国科学院大学
2022,科学技术进步奖,2022-J12-2-05-R03,封闭式无土栽培创制和蔬菜节水高品质栽培技术研究与示范,无
2022,自然科学奖,2022-Z01-2-04-D01,跨尺度场调控新型光子效应与应用,北京工业大学
2022,科学技术进步奖,2022-J10-1-01-R10,大跨度建筑索结构关键技术与工程应用,无
2022,科学技术进步奖,2022-J06-1-03-R09,环骨盆严重创伤智能化微创救治体系和临床应用,无
2022,技术发明奖,2022-F04-2-01-R06,航天器复杂结构碎片撞击监测及泄漏精确定位关键技术与应用,无
2022,自然科学奖,2022-Z05-2-06-R06,海相沉积盆地温度场研究,无
2022,科学技术进步奖,2022-J08-1-01-D06,中药材生态种植理论和技术体系的构建及示范应用,湖北中医药大学
2022,科学技术进步奖,2022-J06-2-01-R01,全主动脉腔内诊疗体系的构建与应用,无
2022,科学技术进步奖,2022-J08-2-02-R05,从肝脾肾论治慢性肾脏病基础研究与临床应用,无
2022,自然科学奖,2022-Z03-2-04-R05,有机/钙钛矿太阳电池关键材料与制备工艺研发,无
2022,自然科学奖,2022-Z01-2-04-R05,跨尺度场调控新型光子效应与应用,无
2022,科学技术进步奖,2022-J02-2-08-R05,复杂电力通信环境下量子密钥分发与组网关键技术、装备与应用,无
2022,科学技术进步奖,2022-J04-2-05-R09,面向煤矿智能开采的水基介质高压大流量液压阀研制及产业化,无
2022,科学技术进步奖,2022-J10-T-01-R20,北京大兴国际机场航站楼建造关键技术研究与应用,无
2022,科学技术进步奖,2022-J02-1-02-D05,面向动态复杂环境的多源融合智能感知技术及产业化,惠州华阳通用电子有限公司
2022,自然科学奖,2022-Z01-1-01-R07,极端条件调控的基元序构量子演生新材料,无
2022,科学技术进步奖,2022-J04-1-01-R13,地下水污染精准识别与系统防治关键技术及应用,无
2022,科学技术进步奖,2022-J06-2-02-R10,口腔锥形束CT系列成像设备研制和产业化,无
2022,自然科学奖,2022-Z02-2-01-R07,高效深度强化学习算法和最优性分析,无
2022,科学技术进步奖,2022-J10-1-01-R11,大跨度建筑索结构关键技术与工程应用,无
2022,科学技术进步奖,2022-J04-2-07-D04,新型高效二维可见/太阳光催化纳米材料构建及其复合技术工程应用,江苏双良环境科技有限公司
2022,科学技术进步奖,2022-J09-2-07-R04,陆相致密砂岩气成藏和富集理论技术创新与工业化应用,无
2022,自然科学奖,2022-Z03-2-01-R05,苝酰亚胺类n型光电聚合物/齐聚物的创制,无
2022,科学技术进步奖,2022-J05-1-01-R09,大型载人密封舱结构低应力关键制造技术与应用,无
2022,技术发明奖,2022-F06-2-01-R04,鸭坦布苏病毒病防控关键技术及应用,无
2022,科学技术进步奖,2022-J04-1-01-D03,地下水污染精准识别与系统防治关键技术及应用,清华大学
2022,技术发明奖,2022-F04-2-02-R01,复杂航天器电气系统设计、建模与验证关键技术及应用,无
2022,科学技术进步奖,2022-J05-2-05-D02,高端数控装备健康状态评估与智能运维关键技术及应用,成都飞机工业（集团）有限责任公司
2022,自然科学奖,2022-Z04-2-02-R08,基于脑电生理信号的跨物种疼痛建模与特异性标记物研究,无
2022,技术发明奖,2022-F04-2-02-D04,复杂航天器电气系统设计、建模与验证关键技术及应用,北京理工大学
2022,科学技术进步奖,2022-J05-2-02-R02,我国首个空间天文台科学数据系统的研发和应用,无
2022,自然科学奖,2022-Z05-2-07-R04,泥页岩孔-缝系统分形机制与三维重构及含油气性机理,无
2022,科学技术进步奖,2022-J05-1-02-R04,面向国六汽油质量升级的重质油裂化催化剂研发及产业化,无
2022,科学技术进步奖,2022-J10-2-07-D03,构造活跃区隧道灾变高效判识控制关键技术和成套装备研究及应用,西南交通大学
2022,科学技术进步奖,2022-J08-1-01-D07,中药材生态种植理论和技术体系的构建及示范应用,山东省分析测试中心
2022,科学技术进步奖,2022-J02-1-03-R15,基于应用程序接口精准检测和高效动态防护的云安全关键技术与应用,无
2022,科学技术进步奖,2022-J02-1-02-D04,面向动态复杂环境的多源融合智能感知技术及产业化,腾讯云计算（北京）有限责任公司
2022,科学技术进步奖,2022-J05-2-05-R03,高端数控装备健康状态评估与智能运维关键技术及应用,无
2022,科学技术进步奖,2022-J11-2-10-R01,超高速、大流量、高效率液体火箭发动机涡轮泵关键技术及应用,无
2022,科学技术进步奖,2022-J02-1-02-R09,面向动态复杂环境的多源融合智能感知技术及产业化,无
2022,科学技术进步奖,2022-J04-2-06-R08,海绵城市源头设施效能提升与布局优化关键技术研究与实践,无
2022,科学技术进步奖,2022-J11-2-02-D03,电动汽车高性能电子电气架构关键技术及产业化,北京汽车研究总院有限公司
2022,科学技术进步奖,2022-J04-2-06-D02,海绵城市源头设施效能提升与布局优化关键技术研究与实践,北京市城市规划设计研究院
2022,科学技术进步奖,2022-J02-2-09-R02,IPv6根服务器系统研发与部署应用,无
2022,技术发明奖,2022-F01-1-01-R02,大深度高分辨穿透成像雷达技术与应用,无
2022,科学技术进步奖,2022-J05-2-01-R08,在役深水水下井口系统智能安全运维关键技术与应用,无
2022,科学技术进步奖,2022-J05-2-03-R03,高端装备关键金属构件真空精密热处理工艺及装备技术与应用,无
2022,科学技术进步奖,2022-J08-2-01-D03,针灸标准化体系的研究与创建,中国中医科学院中医临床基础医学研究所
2022,科学技术进步奖,2022-J11-2-07-R04,公路桥梁服役状态智能评估与韧性提升关键技术,无
2022,科学技术进步奖,2022-J01-1-01-R08,航空遥感系统国家重大科技基础设施,无
2022,科学技术进步奖,2022-J05-2-07-D05,京津冀一体化地震灾害快速评估与辅助决策系统研发及应用,北京山海础石信息技术有限公司
2022,科学技术进步奖,2022-J09-1-01-R02,大规模新能源柔性直流送出关键技术及应用,无
2022,自然科学奖,2022-Z05-2-02-R08,地理空间数据归因方法与人口健康分析,无
2022,技术发明奖,2022-F05-2-01-D03,个性化性别差异人工膝关节系统的关键技术发明与临床应用,华南理工大学
2022,科学技术进步奖,2022-J09-2-08-R07,支持京津冀100%绿电消纳的微电网主动支撑关键技术及工程应用,无
2022,技术发明奖,2022-F04-1-01-D04,电动车辆宽温域动力电池主动热管控及产业应用技术体系,北京公共交通控股（集团）有限公司
2022,自然科学奖,2022-Z01-1-01-R01,极端条件调控的基元序构量子演生新材料,无
2022,技术发明奖,2022-F06-2-01-R05,鸭坦布苏病毒病防控关键技术及应用,无
2022,科学技术进步奖,2022-J02-2-04-D01,城市大脑软硬一体化基础平台关键技术研究及应用,中关村科学城城市大脑股份有限公司
2022,科学技术进步奖,2022-J09-1-02-R11,面向智慧海关的薄壁能谱CT实时精准无感通关关键技术及应用,无
2022,科学技术进步奖,2022-J02-2-13-R05,多模态识别技术在低功耗边缘智能设备上的应用及产业化,无
2022,科学技术进步奖,2022-J06-2-15-R01,肿瘤分子病理关键技术创新与推广应用,无
2022,科学技术进步奖,2022-J05-2-02-R01,我国首个空间天文台科学数据系统的研发和应用,无
2022,科学技术进步奖,2022-J05-1-02-R07,面向国六汽油质量升级的重质油裂化催化剂研发及产业化,无
2022,科学技术进步奖,2022-J10-2-05-D04,北京冬奥竞技型人工剖面赛道类场馆全流程可持续利用关键技术,清华大学建筑设计研究院有限公司
2022,技术发明奖,2022-F05-1-01-R10,结构性心脏病介入诊疗关键技术体系创新与推广应用,无
2022,科学技术进步奖,2022-J04-2-04-D02,面向环境质量改善的精准智慧自动监测关键技术与应用,中国环境监测总站
2022,科学技术进步奖,2022-J01-2-07-R02,面向工业物联网的全自主射频识别系统关键技术及应用,无
2022,科学技术进步奖,2022-J01-2-01-R10,5G节能关键技术研究、设备研发及应用 ,无
2022,科学技术进步奖,2022-J06-2-03-R06,结核病关键诊断技术的创新性建立及应用,无
2022,科学技术进步奖,2022-J02-2-02-D01,领域专用处理器关键技术及应用,中国科学院计算技术研究所
2022,科学技术进步奖,2022-J06-2-08-R04,新生儿脑损伤诊治和预后预测的技术体系和推广应用,无
2022,科学技术进步奖,2022-J04-2-07-R01,新型高效二维可见/太阳光催化纳米材料构建及其复合技术工程应用,无
2022,科学技术进步奖,2022-J05-1-02-D02,面向国六汽油质量升级的重质油裂化催化剂研发及产业化,中国石油化工股份有限公司北京燕山分公司
2022,科学技术进步奖,2022-J13-1-01-R06,关爱妇女，保护母亲:协和女性健康系列科普作品与普及活动,无
2022,科学技术进步奖,2022-J02-2-12-R05,面向网络空间对抗的智能风险推理防治关键技术与应用,无
2022,科学技术进步奖,2022-J11-2-03-D02,面向复杂场景的AMT重型商用车开发关键技术及应用,北京航空航天大学
2022,科学技术进步奖,2022-J10-2-07-R08,构造活跃区隧道灾变高效判识控制关键技术和成套装备研究及应用,无
2022,自然科学奖,2022-Z02-1-01-D01,高性能钙钛矿半导体光电器件的载流子输运调控及缺陷钝化研究,中国科学院半导体研究所
2022,科学技术进步奖,2022-J02-2-04-D02,城市大脑软硬一体化基础平台关键技术研究及应用,北京航空航天大学
2022,科学技术进步奖,2022-J06-2-01-R04,全主动脉腔内诊疗体系的构建与应用,无
2022,科学技术进步奖,2022-J04-2-08-D06,水下油气开发模式设计与智能运维关键技术及工程应用,北京忆泽科技有限公司
2022,技术发明奖,2022-F01-2-05-R03,静止轨道全谱段高光谱探测技术研发与应用,无
2022,科学技术进步奖,2022-J10-1-01-R05,大跨度建筑索结构关键技术与工程应用,无
2022,技术发明奖,2022-F06-2-03-R10,油基钻井液用关键处理剂的研制与工业化应用,无
2022,科学技术进步奖,2022-J11-2-08-D04,京沈高铁望京隧道精细建造关键技术与应用,中铁十四局集团大盾构工程有限公司
2022,技术发明奖,2022-F04-1-01-R11,电动车辆宽温域动力电池主动热管控及产业应用技术体系,无
2022,科学技术进步奖,2022-J12-2-06-D02,大城市蔬菜采后供应链品质控制关键技术与应用,深圳美团优选科技有限公司
2022,科学技术进步奖,2022-J05-2-04-R06,能源装备超大型铸锻承载结构件关键成形技术及应用,无
2022,科学技术进步奖,2022-J01-2-04-R03,一带一路交通遥感数据融合处理技术及应用,无
2022,技术发明奖,2022-F04-1-01-D06,电动车辆宽温域动力电池主动热管控及产业应用技术体系,宇通客车股份有限公司
2022,自然科学奖,2022-Z05-2-07-D03,泥页岩孔-缝系统分形机制与三维重构及含油气性机理,中国石油化工股份有限公司石油勘探开发研究院
2022,科学技术进步奖,2022-J04-1-01-D02,地下水污染精准识别与系统防治关键技术及应用,南方科技大学
2022,科学技术进步奖,2022-J01-2-04-R02,一带一路交通遥感数据融合处理技术及应用,无
2022,自然科学奖,2022-Z05-2-01-R05,基于嫦娥四号数据的月球背面物质与环境研究,无
2022,科学技术进步奖,2022-J05-1-02-R12,面向国六汽油质量升级的重质油裂化催化剂研发及产业化,无
2022,技术发明奖,2022-F03-2-02-R02,空间探测用轻质烧蚀防热材料技术及应用,无
2022,科学技术进步奖,2022-J09-1-02-R07,面向智慧海关的薄壁能谱CT实时精准无感通关关键技术及应用,无
2022,科学技术进步奖,2022-J04-2-04-R01,面向环境质量改善的精准智慧自动监测关键技术与应用,无
2022,科学技术进步奖,2022-J10-2-01-D03,超大跨度机库建造关键技术研究及应用,清华大学
2022,科学技术进步奖,2022-J05-1-01-R08,大型载人密封舱结构低应力关键制造技术与应用,无
2022,科学技术进步奖,2022-J07-2-01-R03,创新药物临床前安全性评价关键新技术的建立与应用,无
2022,科学技术进步奖,2022-J02-2-03-R08,移动应用安全保护、检测和感知关键技术及应用,无
2022,科学技术进步奖,2022-J12-1-02-D03,低维护高抗月季新优品种培育与应用,新疆华云山农林科技有限公司
2022,科学技术进步奖,2022-J10-2-03-D01,地铁暗挖工程帷幕止水建造关键技术研究与应用,北京建工集团有限责任公司
2022,科学技术进步奖,2022-J08-1-01-R03,中药材生态种植理论和技术体系的构建及示范应用,无
2022,科学技术进步奖,2022-J06-1-02-R15,上消化道及毗邻结构肿瘤相关疾病内镜微创诊疗新模式的创建与推广,无
2022,技术发明奖,2022-F01-1-01-R12,大深度高分辨穿透成像雷达技术与应用,无
2022,科学技术进步奖,2022-J01-2-03-R10,面向真实场景的高性能通用人工智能芯片研发及大规模部署,无
2022,科学技术进步奖,2022-J05-1-02-R14,面向国六汽油质量升级的重质油裂化催化剂研发及产业化,无
2022,科学技术进步奖,2022-J11-2-09-D03,高速列车车顶高压电气系统绝缘优化及运维技术与应用,北京中车赛德铁道电气科技有限公司
2022,自然科学奖,2022-Z02-2-03-D01,工业网络化系统的状态估计、故障诊断及安全防护,清华大学
2022,科学技术进步奖,2022-J06-1-01-D01,多种新发人兽共患病流行与防控关键技术研究与应用,中国人民解放军军事科学院军事医学研究院
2022,自然科学奖,2022-Z04-2-01-D02,高等植物避荫反应分子调控机理解析,华南农业大学
2022,科学技术进步奖,2022-J11-2-06-D04,超大城市交通视觉大数据高效表达与运行决策关键技术与应用,安徽博微广成信息科技有限公司
2022,科学技术进步奖,2022-J02-2-04-D03,城市大脑软硬一体化基础平台关键技术研究及应用,北京交通大学
2022,科学技术进步奖,2022-J06-2-05-R03,直肠癌疗效和预后评价的影像学技术创新与应用,无
2022,科学技术进步奖,2022-J04-1-01-D07,地下水污染精准识别与系统防治关键技术及应用,生态环境部环境规划院
2022,科学技术进步奖,2022-J10-2-08-R03,复杂高层建筑结构抗震设计理论、关键技术创新与工程应用,无
2022,自然科学奖,2022-Z04-2-03-R05,组蛋白酰基化读码识别及其功能意义,无
2022,科学技术进步奖,2022-J02-2-07-R08,空天地协同的视觉智能关键技术及应用,无
2022,科学技术进步奖,2022-J11-1-04-R11,高速铁路复杂工况高安全运行控制关键技术研究及应用,无
2022,科学技术进步奖,2022-J04-2-05-R05,面向煤矿智能开采的水基介质高压大流量液压阀研制及产业化,无
2022,自然科学奖,2022-Z04-2-02-R06,基于脑电生理信号的跨物种疼痛建模与特异性标记物研究,无
2022,科学技术进步奖,2022-J06-1-03-D07,环骨盆严重创伤智能化微创救治体系和临床应用,中国人民解放军总医院第一医学中心
2022,科学技术进步奖,2022-J01-2-01-D04,5G节能关键技术研究、设备研发及应用 ,清华大学
2022,科学技术进步奖,2022-J06-2-06-R05,基于我国丙型肝炎特点的筛查体系及自主创新治愈方案的建立及应用,无
2022,技术发明奖,2022-F02-1-01-R10,多能流综合能量管理关键技术、系统及其应用,无
2022,技术发明奖,2022-F02-1-01-R15,多能流综合能量管理关键技术、系统及其应用,无
2022,科学技术进步奖,2022-J08-2-02-D02,从肝脾肾论治慢性肾脏病基础研究与临床应用,浙江中医药大学
2022,科学技术进步奖,2022-J02-2-03-R02,移动应用安全保护、检测和感知关键技术及应用,无
2022,科学技术进步奖,2022-J09-2-08-R04,支持京津冀100%绿电消纳的微电网主动支撑关键技术及工程应用,无
2022,科学技术进步奖,2022-J05-2-02-D02,我国首个空间天文台科学数据系统的研发和应用,北京师范大学
2022,科学技术进步奖,2022-J06-2-09-R07,中国儿童身体成分发育标准研制、健康风险评估及应用推广,无
2022,科学技术进步奖,2022-J09-1-02-R12,面向智慧海关的薄壁能谱CT实时精准无感通关关键技术及应用,无
2022,科学技术进步奖,2022-J06-2-01-R03,全主动脉腔内诊疗体系的构建与应用,无
2022,自然科学奖,2022-Z01-1-02-R11,FAST精细刻画快速射电暴及其周边环境,无
2022,科学技术进步奖,2022-J12-2-05-R08,封闭式无土栽培创制和蔬菜节水高品质栽培技术研究与示范,无
2022,科学技术进步奖,2022-J11-1-02-R08,装配式轨道技术研发及产业化,无
2022,科学技术进步奖,2022-J02-2-10-R04,国产操作系统安全治理及兼容性保障关键技术与应用,无
2022,科学技术进步奖,2022-J02-2-02-D04,领域专用处理器关键技术及应用,北京轩宇空间科技有限公司
2022,科学技术进步奖,2022-J10-T-01-D04,北京大兴国际机场航站楼建造关键技术研究与应用,清华大学
2022,科学技术进步奖,2022-J06-2-06-R04,基于我国丙型肝炎特点的筛查体系及自主创新治愈方案的建立及应用,无
2022,科学技术进步奖,2022-J10-1-02-R15,城市建筑与建筑群多尺度抗震分析理论与性能提升技术,无
2022,科学技术进步奖,2022-J11-2-03-R01,面向复杂场景的AMT重型商用车开发关键技术及应用,无
2022,科学技术进步奖,2022-J09-2-03-R07,提升分布式新能源消纳能力的精细化建模与防控技术应用,无
2022,技术发明奖,2022-F05-2-01-R07,个性化性别差异人工膝关节系统的关键技术发明与临床应用,无
2022,科学技术进步奖,2022-J03-1-01-D08,新能源汽车用钢中大颗粒夹杂物控制关键技术,邯钢集团邯宝钢铁有限公司
2022,技术发明奖,2022-F02-2-01-D02,大功率绝缘栅双极型晶体管(IGBT)驱动关键技术及应用,中电普瑞电力工程有限公司
