   序号,证书状态,证书形式,证号,企业名称,法人代表,行政相对人代码,注册地址,经济类型,许可机关,核发日期,前一次有效期,延期有效期,,
4275,有效,电子,（京）JZ安许证字[2023]021094,北京京隧建设有限公司,/,91110111MA01NMGN34,北京市房山区拱辰街道月华大街1号A8-1840,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-24,2023-03-29,2026-03-23,,
4276,有效,电子,(京)JZ安许证字〔2023〕021098,北京艺美顺达建设集团有限公司,/,91110113551377699F,北京市顺义区李桥镇南半壁店村村委会东侧1000米,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-03,2023-03-29,2026-02-02,,
4277,有效,电子,（京）JZ安许证字[2023]021301,北京博瀚伟业建筑装饰工程有限公司,/,91110116MA01M5UX2K,北京市怀柔区雁栖镇京加路18号,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-09,2023-04-19,2026-03-08,,
4278,有效,电子,（京）JZ安许证字[2023]021302,北京锦艺华远建筑装饰工程有限公司,/,91110109MA01MFGA2M,北京市门头沟区双峪路35号院1号7层F701-741,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-03,2023-04-19,2026-03-02,,
4279,有效,电子,（京）JZ安许证字[2023]021303,北京通宏和润建筑工程有限公司,/,91110113MA01NU726X,北京市顺义区李桥镇任李路北庄头段5号,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-29,2023-04-19,2026-03-28,,
4280,有效,电子,（京）JZ安许证字[2023]021304,文博国创(北京)文化发展有限责任公司,/,91110113MA01MKL49H,北京市顺义区龙湾屯镇府前街13号北2号楼236,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-20,2023-04-19,2026-03-19,,
4281,有效,电子,（京）JZ安许证字[2023]021306,中润博诚(北京)智慧科技有限公司,/,91110109MA01PDAE8B,北京市门头沟区色树坟粮库15号楼-WP362,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-08,2023-04-19,2026-03-07,,
4282,有效,电子,（京）JZ安许证字[2023]021312,北京立盛合设备安装工程有限公司,/,91110111MA01K9ML3G,北京市房山区良乡凯旋大街建设路18号-D7332,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-06,2023-04-19,2026-03-05,,
4283,有效,电子,（京）JZ安许证字[2023]021110,北京天瑞优创环境科技有限公司,/,91110114MA00DXCM4C,北京市门头沟区三家店东街51号一层(天助立业众创空间)0371,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-20,2023-03-30,2026-03-19,,
4284,有效,电子,(京)JZ安许证字〔2023〕021111,世纪华建建设工程集团有限公司,/,91110109MA01GBXA7B,北京市门头沟区新城东街19号院3号楼8层815室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-09,2023-03-30,2026-02-08,,
4285,有效,电子,(京)JZ安许证字〔2023〕021133,北京世博恒泰建筑工程有限公司,/,91110114MA01NM8M44,北京市昌平区马池口镇北庄户村临46-1号436室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-20,2023-03-31,2026-02-19,,
4286,有效,电子,(京)JZ安许证字〔2023〕021211,北京瑞智诚建筑工程有限公司,/,91110109MA01NW5X2G,北京市门头沟区石龙西路58号永定镇政府办公楼YD734(集群注册),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-03,2023-04-09,2026-02-02,,
4287,有效,电子,（京）JZ安许证字[2023]021212,北京正益通建设工程有限公司,/,91110111MA01PUG24M,北京市房山区西潞街道长虹西路73号1幢1层J6,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-22,2023-04-09,2026-03-21,,
4288,有效,电子,（京）JZ安许证字[2023]021223,北京嘉泰华成建设工程有限公司,/,91110116MA01J8302U,北京市怀柔区怀北镇怀北路308号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-10,2023-04-09,2026-04-09,,
4289,有效,电子,（京）JZ安许证字[2023]021273,北京中嘉华瑞工程有限公司,/,91110109MA01LCFHXD,北京市门头沟区斋堂大街45号科技楼ZT622室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-10,2023-04-15,2026-03-09,,
4290,有效,电子,（京）JZ安许证字[2023]021276,北京赫轩建筑有限公司,/,91110112738214291Q,北京市通州区梨园镇梨园村民委员会南1000米底商01E3,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-24,2023-04-15,2026-03-23,,
4291,有效,电子,(京)JZ安许证字〔2023〕021277,北京君昊瑞达装饰工程有限公司,/,911101113996597111,北京市房山区良乡地区月华大街8-A号楼202-38,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-20,2023-04-15,2026-02-19,,
4292,有效,电子,（京）JZ安许证字[2023]021130,中文建设工程有限公司,/,91110109MA01PH4B6W,北京市朝阳区望京东园四区13号楼-4至33层101内17层17B1515室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-06-02,2023-03-31,2026-03-15,,
4293,有效,电子,（京）JZ安许证字[2023]021180,北京梓秋建安建筑劳务有限公司,/,91110109MA01N5NQ62,北京市门头沟区龙兴南二路5号院2号楼6层057,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-24,2023-04-07,2026-03-23,,
4294,有效,电子,（京）JZ安许证字[2023]021181,北京弘扬紫东环保科技有限公司,/,911101158028699121,北京市大兴区马朱路长子营段16号院17号楼3层303,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-06,2023-04-07,2026-04-05,,
4295,有效,电子,(京)JZ安许证字〔2023〕021182,中润时代(北京)建设工程有限公司,/,91110109MA01MMYE9A,北京市门头沟区石龙经济开发区永安路20号1号楼14层2单元1402室-DXF502,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-27,2023-04-07,2026-02-26,,
4296,有效,电子,（京）JZ安许证字[2023]021169,北京中宇博鸿建筑有限公司,/,91110109MA01MAG58Y,北京市门头沟区斋堂大街45号科技楼ZT649室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-22,2023-04-06,2026-03-21,,
4297,有效,电子,（京）JZ安许证字[2023]021083,中科昊天(北京)建设有限公司,/,91110109MA01N7QN6R,北京市门头沟区龙兴南二路5号院2号楼6层073,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-21,2023-03-26,2026-03-20,,
4298,有效,电子,(京)JZ安许证字〔2023〕021085,百恒建设集团有限公司,/,91110109MA01P75N3C,北京市门头沟区斋堂镇火村东7号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-20,2023-03-26,2026-02-19,,
4299,有效,电子,（京）JZ安许证字[2023]021086,北京黎东幕墙工程有限公司,/,91110113579015446N,北京市北京经济技术开发区荣京北小街6号院11号楼11层1105,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-06-02,2023-03-26,2026-03-15,,
4300,有效,电子,(京)JZ安许证字〔2023〕021088,舜创(北京)环保科技有限公司,/,91110105306341254X,北京市昌平区东小口镇天通苑西苑二区19号楼-1至4层8-102四层403,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-03,2023-03-26,2026-02-02,,
4301,有效,电子,(京)JZ安许证字〔2023〕021089,北京中君源科技有限公司,/,91110302794051861A,北京市北京经济技术开发区同济中路7号5号楼1层厂房,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-10,2023-03-26,2026-02-09,,
4302,有效,电子,（京）JZ安许证字[2023]021097,北京康隆鑫业市政工程有限公司,/,911101090854757178,北京市门头沟区石龙经济开发区永安路20号3号楼B1-6354室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-16,2023-03-29,2026-03-15,,
4303,有效,电子,(京)JZ安许证字〔2023〕021099,北京兴众建筑劳务有限公司,/,91110109MA01MJLB36,北京市门头沟区大台商贸公司玉皇庙门市部2幢1至2层DT1096,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-27,2023-03-29,2026-02-26,,
4304,有效,电子,(京)JZ安许证字〔2023〕021101,北京中晟嘉世建筑工程有限公司,/,91110109348293596A,北京市门头沟区石龙经济开发区永安路20号3号楼A-3780室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-20,2023-03-29,2026-02-19,,
4305,有效,电子,（京）JZ安许证字[2023]021102,北京君诚建设工程有限公司,/,91110116MA001H199A,北京市房山区西潞街道长虹西路73号1幢1层G46,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-07,2023-03-29,2026-03-06,,
4306,有效,电子,（京）JZ安许证字[2023]021282,北京新港建筑装饰有限公司,/,91110114318379591A,北京市昌平区科星西路106号院4号楼14层1402,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-07,2023-04-16,2026-04-06,,
4307,有效,电子,（京）JZ安许证字[2023]021286,北京华信建业建设工程有限公司,/,91110109MA01MDQT6H,北京市大兴区北兴路(东段)2号1幢5层508房间,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-07,2023-04-16,2026-03-06,,
4308,有效,电子,（京）JZ安许证字[2023]021308,北京天迈建筑劳务有限公司,/,91110115MA01NBYT7M,北京市大兴区春和路50号院5号楼6层618,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-21,2023-04-19,2026-03-20,,
4309,有效,电子,（京）JZ安许证字[2023]021310,北京乾富建筑劳务分包有限公司,/,91110109MA01PEA81N,北京市门头沟区斋堂大街45号科技楼ZT913室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-04-06,2023-04-19,2026-04-05,,
4310,有效,电子,（京）JZ安许证字[2023]021535,中泽亚辰(北京)建筑工程有限公司,/,91110109MA01NKA01T,北京市门头沟区龙兴南二路5号院4号楼101号216室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-13,2023-04-27,2026-04-12,,
4311,有效,电子,（京）JZ安许证字[2023]021121,中晟通宇(北京)建设有限公司,/,91110109MA01N7QD4A,北京市门头沟区龙兴南二路5号院2号楼6层075,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-06,2023-03-30,2026-03-05,,
4312,有效,电子,（京）JZ安许证字[2023]021155,北京广鸿建设工程有限公司,/,91110111MA01GQQP63,北京市房山区良乡长虹西路翠柳东街1号-4286,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-08,2023-04-06,2026-03-07,,
4313,有效,电子,(京)JZ安许证字〔2023〕021156,北京君业基石建筑工程有限公司,/,91110109MA01PWR547,北京市门头沟区斋堂镇东胡林村DHLC007号,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-06,2023-04-06,2026-02-05,,
4314,有效,电子,（京）JZ安许证字[2023]021179,北京潢图装饰设计有限公司,/,91110111MA01NMC50J,北京市房山区西潞街道长虹西路73号1幢1层B112,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-30,2023-04-07,2026-03-29,,
4315,有效,电子,（京）JZ安许证字[2023]021186,北京顺天通建筑工程有限公司,/,91110000102790955M,北京市怀柔区庙城镇庙城村临300号406室,其他有限责任公司,北京市住房和城乡建设委员会,2023-04-06,2023-04-07,2026-04-05,,
4316,有效,电子,（京）JZ安许证字[2023]021287,北京景铭建筑工程有限公司,/,91110109MA01MKCX95,北京市门头沟区大台商贸公司玉皇庙门市部2幢1至2层DT1095,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-17,2023-04-16,2026-03-16,,
4317,有效,电子,（京）JZ安许证字[2023]021380,北京兰启乐机电工程有限公司,/,91110109MA01MM85X2,北京市门头沟区妙峰山镇陇驾庄村3号2幢,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-16,2023-04-22,2026-03-15,,
4318,有效,电子,（京）JZ安许证字[2023]021383,北京润泽清源环保科技发展有限公司,/,91110109MA00E17HXF,北京市丰台区园博园南路渡业大厦502室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-16,2023-04-22,2026-04-15,,
4319,有效,电子,（京）JZ安许证字[2023]021384,北京市利宝劳务服务有限公司,/,9111022808962402XB,北京市密云区巨各庄镇豆各庄村北700米,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-07,2023-04-22,2026-03-06,,
4320,有效,电子,(京)JZ安许证字〔2023〕021387,北京泰华瑞建筑工程有限公司,/,91110109MA01CTQ160,北京市门头沟区大台商贸公司玉皇庙门市部2幢1至2层DT0159,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-09,2023-04-22,2026-02-08,,
4321,有效,电子,（京）JZ安许证字[2023]021388,中博兴科(北京)工程技术研究院有限公司,/,91110109MA01NPP869,北京市门头沟区大台商贸公司玉皇庙门市部2幢1至2层DT0374,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-01,2023-04-22,2026-02-28,,
4322,有效,电子,（京）JZ安许证字[2023]021389,中福泰达(北京)建设工程有限公司,/,91110109MA01NFQMXR,北京市门头沟区石龙工业开发区石龙经济开发区平安路1号2幢1层101室A028,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-21,2023-04-22,2026-03-20,,
4323,有效,电子,（京）JZ安许证字[2023]021392,北京凯源丰建设工程有限公司,/,911102280592810549,北京市房山区良乡凯旋大街建设路18号-D11145,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-04-14,2023-04-22,2026-04-13,,
4324,有效,电子,（京）JZ安许证字[2023]021395,北京弘昇建筑工程有限公司,/,91110114MA01NM003X,北京市顺义区木林镇顺焦路木林段83号2层288室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-04,2023-04-22,2026-04-03,,
4325,有效,电子,（京）JZ安许证字[2023]021396,北京大资建筑工程有限公司,/,91110115MA01PARU91,北京市大兴区魏善庄镇中心路100号院1号楼2层052室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-17,2023-04-22,2026-04-16,,
4326,有效,电子,（京）JZ安许证字[2023]021397,北京智恒通联信息科技有限公司,/,911101083065605887,北京市朝阳区酒仙桥东路1号院8号楼5层C厅520室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-23,2023-04-22,2026-02-08,,
4327,有效,电子,（京）JZ安许证字[2023]021297,北京鑫维建筑安装工程有限公司,/,91110302MA01PG2D7L,北京市北京经济技术开发区地盛北街1号院43号楼15层1509,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-01,2023-04-16,2026-02-28,,
4328,有效,电子,（京）JZ安许证字[2023]021401,北京金鼎筑业建设有限公司,/,91110112662156389N,北京市通州区台湖镇永隆屯村70号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-14,2023-04-23,2026-04-13,,
4329,有效,电子,（京）JZ安许证字[2023]021406,中邦德兴(北京)建筑工程有限公司,/,91110109MA01MEMG7G,北京市门头沟区双峪路35号院1号7层F701-747,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-29,2023-04-23,2026-03-28,,
4330,有效,电子,(京)JZ安许证字〔2023〕021107,北京磐石交建工程有限公司,/,91110229MA01MRAN3F,北京市延庆区康庄镇天庆路88号,其他有限责任公司,北京市住房和城乡建设委员会,2023-02-20,2023-03-30,2026-02-19,,
4331,有效,电子,（京）JZ安许证字[2023]021115,北京敦邦建筑工程有限公司,/,91110109MA01MKF32M,北京市门头沟区斋堂大街45号科技楼ZT655室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-13,2023-03-30,2026-03-12,,
4332,有效,电子,(京)JZ安许证字〔2023〕021116,北京铁鑫达电力工程有限公司,/,91110109MA01NDU502,北京市门头沟区斋堂大街45号科技楼ZT685室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-21,2023-03-30,2026-02-20,,
4333,有效,电子,(京)JZ安许证字〔2023〕021117,北京顺世宏信科技有限公司,/,91110108700217913K,北京市海淀区西三环北路89号2层1-2,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-08,2023-03-30,2026-02-07,,
4334,有效,电子,(京)JZ安许证字〔2023〕021119,环太平洋(北京)建筑工程有限责任公司,/,9111011269502506X9,北京市门头沟区军庄镇军庄路2号院JZ1502室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-17,2023-03-30,2026-02-16,,
4335,有效,电子,（京）JZ安许证字[2023]021120,北京佳泰新材料有限公司,/,91110113749360833X,北京市顺义区高丽营镇金马园高仁路6号,其他有限责任公司,北京市住房和城乡建设委员会,2023-03-17,2023-03-30,2026-03-16,,
4336,有效,电子,（京）JZ安许证字[2023]021122,北京引力石展览展示有限公司,/,91110115MA01N1874K,北京市大兴区旧桥路25号院1号楼11层1103,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-16,2023-03-30,2026-03-15,,
4337,有效,电子,（京）JZ安许证字[2023]021123,北京兴恒工程建设有限公司,/,91110114MA01PHP507,北京市昌平区南口镇南大街21号100幢二层201,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-29,2023-03-30,2026-03-28,,
4338,有效,电子,（京）JZ安许证字[2023]021125,北京宇时祥和建筑工程有限公司,/,91110109MA01MJ3Q1W,北京市门头沟区军庄镇军庄路2号院JZ1378室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-07,2023-03-30,2026-03-06,,
4339,有效,电子,(京)JZ安许证字〔2023〕021126,文豪世纪(北京)建筑工程有限公司,/,91110109MA01NKC04F,北京市门头沟区雁翅镇高芹路1号院YC-1007号,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-01-09,2023-03-30,2026-01-08,,
4340,有效,电子,（京）JZ安许证字[2023]021170,中水建安(北京)建设有限公司,/,91110109MA01N7PF4N,北京市门头沟区龙兴南二路5号院2号楼6层084,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-14,2023-04-07,2026-03-13,,
4341,有效,电子,（京）JZ安许证字[2023]021171,北京艺泰永建设科技有限公司,/,91110109MA01NA2Q6L,北京市门头沟区石龙经济开发区永安路20号1号楼14层2单元1402室-DXF519,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-09,2023-04-07,2026-03-08,,
4342,有效,电子,（京）JZ安许证字[2023]021173,中泰鼎建(北京)建筑有限公司,/,91110109MA01PG681E,北京市门头沟区斋堂镇杨家村82院1号,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-03-06,2023-04-07,2026-03-05,,
4343,有效,电子,(京)JZ安许证字〔2023〕021174,北京鼎新市政园林工程有限公司,/,91110115MA00FC781C,北京市大兴区宏业东路1号院28号楼2层302,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-02,2023-04-07,2026-02-01,,
4344,有效,电子,（京）JZ安许证字[2023]021196,中能汉邦(北京)建设有限公司,/,91110109MA01N7QF00,北京市门头沟区龙兴南二路5号院2号楼6层074,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-30,2023-04-08,2026-03-29,,
4345,有效,电子,（京）JZ安许证字[2023]021197,北京双腾建筑工程有限公司,/,91110109MA01MDR3XN,北京市门头沟区双峪路35号院1号7层F701-762,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-06,2023-04-08,2026-03-05,,
4346,有效,电子,（京）JZ安许证字[2023]021203,北京华堃工程技术有限公司,/,91110113MA01P49294,北京市顺义区汇海南路1号院9号楼1层101,其他有限责任公司,北京市住房和城乡建设委员会,2023-03-30,2023-04-08,2026-03-29,,
4347,有效,电子,（京）JZ安许证字[2023]021382,北京上进建设工程有限公司,/,91110111MA01NKCG5Y,北京市房山区天星街1号院11号楼10层1007,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-04-19,2023-04-22,2026-04-18,,
4348,有效,电子,（京）JZ安许证字[2023]021386,北京盛泰鸿基建设工程有限公司,/,91110109MA01MEQ879,北京市门头沟区雁翅镇高芹路1号院YC-0624号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-01,2023-04-22,2026-02-28,,
4349,有效,电子,（京）JZ安许证字[2023]021407,北京昊建建筑工程有限公司,/,91110109MA01MRQFX4,北京市门头沟区石龙南路10号QS295,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-23,2023-04-23,2026-04-22,,
4350,有效,电子,(京)JZ安许证字〔2023〕021204,北京佰聚建筑工程有限公司,/,91110109MA01N42K0H,北京市门头沟区斋堂大街45号科技楼ZT678室,有限责任公司(法人独资),北京市住房和城乡建设委员会,2023-02-24,2023-04-08,2026-02-23,,
4351,有效,电子,（京）JZ安许证字[2023]021205,京通新启(北京)建设工程有限公司,/,91110111MA01NXEX2N,北京市房山区拱辰街道月华大街1号A8-1868,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-22,2023-04-08,2026-03-21,,
4352,有效,电子,（京）JZ安许证字[2023]021207,北京首宣建设集团有限公司,/,91110116MA01MQCG6N,北京市怀柔区雁栖镇京加路18号,其他有限责任公司,北京市住房和城乡建设委员会,2023-03-31,2023-04-08,2026-03-30,,
4353,有效,电子,(京)JZ安许证字〔2023〕021208,北京辰泓伟业建筑工程有限公司,/,91110113MA001N89XQ,北京市顺义区李桥镇顺通路李桥段60号-179,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-02-06,2023-04-08,2026-02-05,,
4354,有效,电子,（京）JZ安许证字[2023]021215,京乐机电制冷设备(北京)有限公司,/,91110105739398555H,北京市顺义区顺仁路57号院2号楼2层208,其他有限责任公司,北京市住房和城乡建设委员会,2023-03-09,2023-04-09,2026-03-08,,
4355,有效,电子,（京）JZ安许证字[2023]021216,北京金隆恒达建筑工程有限公司,/,91110109MA01PEJ89W,北京市门头沟区中门寺街69号29幢2-208室,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-17,2023-04-09,2026-03-16,,
4356,有效,电子,（京）JZ安许证字[2023]021218,北京盛达顺建筑工程有限公司,/,91110113MA01HLYUX8,北京市顺义区火寺路张喜庄段15号院3号楼3层303,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-13,2023-04-09,2026-03-12,,
4357,有效,电子,（京）JZ安许证字[2023]021344,北京涵锐博纳建设工程有限公司,/,91110109MA01PCNY13,北京市门头沟区斋堂大街45号科技楼ZT915室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-16,2023-04-20,2026-03-15,,
4358,有效,电子,（京）JZ安许证字[2023]021345,北京顺昌装饰工程有限公司,/,91110113MA01G8JP2X,北京市顺义区张镇行宫村64号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-11,2023-04-20,2026-04-10,,
4359,有效,电子,（京）JZ安许证字[2023]021346,北京万筑汇元建筑工程有限公司,/,91110109MA01N8638D,北京市门头沟区石龙经济开发区平安路5号4幢DY481,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-04,2023-04-20,2026-04-03,,
4360,有效,电子,(京)JZ安许证字〔2023〕021136,北京北雾建设工程有限公司,/,91110109MA01N8XF8C,北京市门头沟区妙峰山镇政府大院南楼MFS1362室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-21,2023-03-31,2026-02-20,,
4361,有效,电子,（京）JZ安许证字[2023]021296,中晟建设(北京)集团有限公司,/,91110109MA01LXB45R,北京市门头沟区双峪路35号院1号7层F701-658,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-16,2023-04-16,2026-03-15,,
4362,有效,电子,（京）JZ安许证字[2023]021219,北京中安吉晟建设工程有限公司,/,91110109MA01N71J4W,北京市门头沟区石龙经济开发区平安路5号4幢DY484,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-05-30,2023-04-09,2026-03-06,,
4363,有效,电子,（京）JZ安许证字[2023]021162,中启阔达(北京)建设工程有限公司,/,91110109MA01NH4K9N,北京市门头沟区石龙工业开发区石龙经济开发区平安路1号2幢1层101室A035,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-17,2023-04-06,2026-03-16,,
4364,有效,电子,（京）JZ安许证字[2023]021163,北京海汇信达建筑工程有限公司,/,91110109MA01N7344R,北京市门头沟区石龙经济开发区永安路20号1号楼14层2单元1401室-DXF523,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-31,2023-04-06,2026-03-30,,
4365,有效,电子,（京）JZ安许证字[2023]021254,北京弘磊建设工程有限公司,/,91110109MA01NFUX5Q,北京市门头沟区紫金路5号院1号楼3层2单元301-14,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-23,2023-04-13,2026-03-22,,
4366,有效,电子,（京）JZ安许证字[2023]021262,北京天巨天下建设发展股份有限公司,/,9111011479853035XL,北京市昌平区北七家镇王府街32号北京顺厚寓商务有限公司内6501号,其他股份有限公司(非上市),北京市住房和城乡建设委员会,2023-03-21,2023-04-13,2026-03-20,,
4367,有效,电子,（京）JZ安许证字[2023]021278,北京中城汇众建筑劳务有限公司,/,91110109MA01N4UQ8D,北京市门头沟区清水镇小龙门村10号,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-04-06,2023-04-15,2026-04-05,,
4368,有效,电子,(京)JZ安许证字〔2023〕021146,北京中海东泰集团有限责任公司,/,911101086004162105,北京市丰台区卢沟桥乡万丰路318号院3号楼五层01室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-01-29,2023-04-02,2026-01-28,,
4369,有效,电子,(京)JZ安许证字〔2023〕021148,北京云泰通达建设工程有限公司,/,91110228MA01N2WTXD,北京市密云区鼓楼东大街3号山水大厦3层313室-3408(云创谷经济开发中心集中办公区),有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-02-06,2023-04-02,2026-02-05,,
4370,有效,电子,（京）JZ安许证字[2023]021267,中材(北京)地热能科技有限公司,/,91110109MA01J4PQ4B,北京市门头沟区三家店东街51号二层193,其他有限责任公司,北京市住房和城乡建设委员会,2023-03-29,2023-04-14,2026-03-28,,
4371,有效,电子,(京)JZ安许证字〔2023〕021234,北京优奈特能源工程技术有限公司,/,911101026000377470,北京市朝阳区化工路59号院4号楼1至14层101内09层,有限责任公司(中外合资),北京市住房和城乡建设委员会,2023-02-21,2023-04-12,2026-02-20,,
4372,有效,电子,(京)JZ安许证字〔2023〕021243,北京城建四建设工程有限责任公司,/,911101081019302078,北京市海淀区王庄路27号,其他有限责任公司,北京市住房和城乡建设委员会,2023-02-20,2023-04-12,2026-02-19,,
4373,有效,电子,（京）JZ安许证字[2023]021244,北京坦隆环境科技有限公司,/,91110108MA005YAR1F,北京市昌平区马池口镇北庄户村临46-1号438室,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-01,2023-04-12,2026-02-28,,
4374,有效,电子,（京）JZ安许证字[2023]021245,北京舞鹤环境工程设计有限公司,/,91110108MA006LLE5Q,北京市海淀区二里庄35号楼3031室,其他有限责任公司,北京市住房和城乡建设委员会,2023-03-15,2023-04-12,2026-03-14,,
4375,有效,电子,（京）JZ安许证字[2023]021225,北京恒万天正建设工程有限公司,/,91110109MA01MK8621,北京市门头沟区大台商贸公司玉皇庙门市部2幢1至2层DT1097,有限责任公司(自然人独资),北京市住房和城乡建设委员会,2023-03-09,2023-04-09,2026-03-08,,
4376,有效,电子,（京）JZ安许证字[2023]021226,华成畅远建设有限公司,/,91110229MA01GFJ907,北京市延庆区延庆镇百泉街9号1幢1至2层2一110,有限责任公司(自然人投资或控股),北京市住房和城乡建设委员会,2023-03-27,2023-04-12,2026-03-26,,
