行政相对人名称,行政相对人代码1(统一社会信用代码),行政相对人代码2(工商注册号),行政相对人代码3(组织机构代码),行政相对人代码4(税务登记号),行政相对人代码5(事业单位证书号),行政相对人代码6(社会组织登记证号),法定代表人,法定代表人证件类型,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,暂扣或吊销证照名称及编号,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,/
天津成源建筑工程有限公司,91120223MA06U9908P,/,/,/,/,/,李*希,身份证,(京延)应急罚〔2020〕054号,违反了 《中华人民共和国安全生产法》第三十八条第一款 的规定,未将事故隐患排查治理情况如实记录,依据 《中华人民共和国安全生产法》第九十四条第(五)项,罚款,处人民币壹万元罚款的行政处罚,1,/,/,2020-05-29,2050-05-29,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
天津成源建筑工程有限公司,91120223MA06U9908P,/,/,/,/,/,李*希,身份证,(京延)应急罚〔2020〕055号,违反了 《中华人民共和国安全生产法》第三十二条 的规定,未在有较大危险因素的施工现场设置明显的安全警示标志,依据 《中华人民共和国安全生产法》第九十六条第(一)项,罚款,处人民币壹万元罚款的行政处罚,1,/,/,2020-05-29,2050-05-29,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
北京云飞阳建筑有限公司,91110229MA00H7420U,/,/,/,/,/,赵*飞,身份证,(京延)应急罚〔2020〕037号,生产经营单位作业现场管理类违法,"储存危险物品,未采取可靠的安全措施,违反了《中华人民共和国安全生产法》第三十六条第二款的规定",依据《中华人民共和国安全生产法》第九十八条 第(一)项,罚款,"2020年4月30日10时27分,北京市延庆区应急管理局执法人员对在北京市延庆区张山营镇供电服务中心综合楼室内综合改造工程施工现场的北京云飞阳建筑有限公司进行安全生产执法检查,发现该单位储存危险物品(液化气罐),未采取可靠的安全措施一项安全生产隐患,我局执法人员下达了《责令限期整改指令书》,责令限期整改。",0.6,/,/,2020-05-12,2050-05-11,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
天津市晏立豪物流有限公司,91120222MA05NKU29K,/,/,/,/,/,孙*军,身份证,京交法(13)字伍20050701,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定,"天津市晏立豪物流有限公司未按规定携带驾驶员从业资格证驾驶津C20527津CT290挂货物运输车辆一案,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定,根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年5月7日8时30分,马彦兵驾驶的津C20527津CT290挂货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、张铁钢(执法证号:11310028)示证检查:该车取得普通货物道路运输证,运输货物为焦炭,从内蒙到唐山,该企业驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-07,2020-05-07,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京庆和食品有限责任公司,9111022910303756XX,/,/,/,/,/,曹*田,身份证,延环保监察罚字[2020]009号,《中华人民共和国大气污染防治法》第十八条,"2020年3月1日,我局执法人员对该单位进行现场检查,委托华测检测认证集团北京有限公司对该单位东南侧场界进行无组织排放臭气相关污染物监测。根据华测检测认证集团北京有限公司3月4日出具的A2200030522109号检测报告显示,该(单位)臭气无组织排放浓度值为263,超过《大气污染物综合排放标准》(DB11/501-2017)表3中臭气浓度20的排放限值。",《中华人民共和国大气污染防治法》第九十九条第一款第二项,罚款,处以26万元罚款。,26,/,/,2020-04-27,2099-12-31,/,北京市延庆区生态环境局,11110229000117903B,/,北京市延庆区生态环境局,11110229000117903B,/
北京燃气绿源达清洁燃料有限公司运输分公司,911101053530065632,/,/,/,/,/,王*中,身份证,京交法(13)字稽20041405,违反了《道路危险货物运输管理规定》第八条、第九条、第十条、第十一条之规定,"北京燃气绿源达清洁燃料有限公司运输分公司驾驶员驾驶京AAY517号货物运输车未取得化学危险品营运许可擅自从事运输化学危险品,此行为违反了《道路危险货物运输管理规定》第八条、第九条、第十条、第十一条之规定,根据《道路危险货物运输管理规定》第五十七条第(一)项规定,应予处罚。",根据《道路危险货物运输管理规定》第五十七条第(一)项规定,罚款,"2020年3月23日10时00分,司机郭立军押运员孙建新驾驶的京AAY517号货物运输车辆 ,行驶至延庆区大榆树镇姜家台村口,经执法人员刘玉山(执法证号:11310055)、丁争志(执法证号:11310152)示证检查:该车运输货物为天燃气,从大榆树镇卸完天燃气回张山营天燃气站,该车未取得道路危险货物运输许可,擅自从事道路危险货物运输经营。此行为违反了《道路危险货物运输管理规定》第八条、第九条、第十条、第十一条之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",3,/,/,2020-04-14,2020-04-24,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
厦门中联永亨建设集团有限公司,913502001550091492,/,/,/,/,/,林*斌,/,延环保车罚字〔2020〕20号,《北京市机动车和非道路移动机械排放污染防治条例》第二十五条第一款,"我局于2020年5月18日对你(单位)进行了调查,发现你(单位)使用的型号为930,编号为18113053的中科聚峰牌装载机非道路移动机械未经信息编码登记或者未如实登记信息。",《北京市机动车和非道路移动机械排放污染防治条例》第四十五条第一款,罚款,"责令改正,并处人民币伍仟元罚款。",0.5,/,/,2020-05-29,2021-05-29,/,延庆区生态环境局,11110229000117903B,/,延庆区生态环境局,11110229000117903B,/
北京大融盛合科技有限公司,9111010807412732X0,/,/,/,/,/,孙*,身份证,(京延)应急罚〔2020〕033号,教育培训类违法,"2020年4月28日,我局行政执法人员在对你单位进行执法检查时,发现你单位存在未按照规定对从业人员进行安全生产教育和培训1项安全生产隐患,我局下达了《责令限期整改指令书》,责令限期整改",《中华人民共和国安全生产法》第九十四条第(三)项,罚款,处人民币陆仟元罚款,0.6,/,/,2020-05-11,2020-05-26,/,延庆区应急管理局,11110229764241445C,/,延庆区应急管理局,11110229764241445C,/
北京云飞阳建筑有限公司,91110229MA00H7420U,/,/,/,/,/,赵*飞,身份证,(京延)应急罚〔2020〕036号,安全生产隐患管理类违法,"未将事故隐患排查治理情况如实记录,违反了《中华人民共和国安全生产法》第三十八条第一款的规定",依据《中华人民共和国安全生产法》第九十四条第(五)项的规定,罚款,"2020年4月30日9时19分,北京市延庆区应急管理局执法人员对在北京市延庆区张山营镇供电服务中心综合楼室内综合改造工程施工现场的北京云飞阳建筑有限公司进行安全生产执法检查,发现该单位存在未将事故隐患排查治理情况如实记录一项安全生产隐患,我局执法人员下达了《责令限期整改指令书》,责令限期整改。",0.6,/,/,2020-05-12,2050-05-11,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
北京春林发建筑工程有限公司,911102295768748198,/,/,/,/,/,柳*林,身份证,(京延)应急罚〔2020〕038号,警示标志类违法,"2020年5月4日,我局行政执法人员在对你单位进行执法检查时,发现你单位存在未在有较大危险因素的生产经营场所和有关设施、设备上设置明显的安全警示标志1项安全生产隐患,我局下达了《责令限期整改指令书》,责令限期整改。",《中华人民共和国安全生产法》第九十六条第(一)项,罚款,处人民币陆仟元罚款,0.6,/,/,2020-05-11,2020-05-26,/,延庆区应急管理局,11110229764241445C,/,延庆区应急管理局,11110229764241445C,/
北京永乐通达建筑工程有限公司,911102295674563321,/,/,/,/,/,王*才,身份证,京交法(13)字伍20051201,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定,"北京永乐通达建筑工程有限公司未按规定携带驾驶员从业资格证驾驶京AT8165号货物运输车辆一案,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年5月12日8时30分,马占坡驾驶的京AT8165号货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、张铁钢(执法证号:11310028)示证检查:该车取得普通货物道路运输证,驾驶空车,从延庆到房山,该企业驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-12,2020-05-12,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
兴隆县东盛物流有限公司,91130822MA08404D8F,/,/,/,/,/,朱*明,身份证,京交法(13)字伍20051202,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定,"兴隆县东盛物流有限公司未按规定携带驾驶员从业资格证驾驶冀H80005冀HV779挂货物运输车辆一案,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定,根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年5月12日10时00分,邵金坡驾驶的冀H80005冀HV779挂货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、张铁钢(执法证号:11310028)示证检查:该车取得普通货物道路运输证,运输货物为水泥,从兴隆到延庆,该企业驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-12,2020-05-12,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京安顺泰建材技术有限公司,91110115726330754C,/,/,/,/,/,刘*辉,身份证,京交法(13)字伍20051101,此行为违反了《中华人民共和国道路运输条例》第三十三条之规定,"北京安顺泰建材技术有限公司未按规定随车携带道路运输证一案,此行为违反了《中华人民共和国道路运输条例》第三十三条之规定,应予处罚。",根据《中华人民共和国道路运输条例》第六十八条的规定,罚款,"2020年5月11日8时00分,黄玉龙驾驶的京ALQ633京AW792挂货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员张铁刚(执法证号:11310028)、林桐树(执法证号:11310131)、示证检查: 该车取得普通货物道路运输证,运输货物为空车,从延庆区到大兴区,北京安顺泰建材技术有限公司未按规定随车携带道路运输证。此行为违反了《中华人民共和国道路运输条例》第三十三条之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-11,2020-05-11,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京中塑兆通工贸有限公司,911101151029119489,/,/,/,/,/,李*玲,身份证,京交法(13)字伍20051301,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定,"北京中塑兆通工贸有限公司未按规定携带驾驶员从业资格证驾驶京ADS122号货物运输车辆一案,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。,根据《北京市道路运输条例》第五十七条第(三)项的规定,决定给予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年5月13日8时30分,张来雨驾驶的京ADS122号货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、张铁钢(执法证号:11310028)示证检查:该车取得普通货物道路运输证,空车,从延庆到张伍堡,该企业驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-13,2020-05-13,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
重庆煌盛建筑劳务有限公司,91500117057754081M,/,/,/,/,/,封*芝,身份证,(京延)应急罚〔2020〕034号,违反了 《中华人民共和国安全生产法》第三十八条第一款 的规定,"2020年4月21日,我局执法人员对重庆煌盛建筑劳务有限公司位于国家雪车雪橇中心项目施工现场进行执法检查时,发现该单位存在未将事故隐患排查治理情况如实记录1项安全生产隐患,我局下达了《责令限期整改指令书》,责令限期整改。",依据 《中华人民共和国安全生产法》第九十四条第(五)项,罚款,处人民币壹万元罚款的行政处罚,1,/,/,2020-04-28,2050-04-28,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
河北锦派建筑劳务分包有限公司,91130100589680079D,/,/,/,/,/,张*考,身份证,(京延)应急罚〔2020〕041号,生产安全事故应急救援类违法,"未按照规定制定生产安全事故应急救援预案,违反了《中华人民共和国安全生产法》第七十八条的规定",依据《中华人民共和国安全生产法》第九十四条第(六)项,罚款,"2020年5月7日10时22分,我局执法人员对该单位在北京市延庆区延庆镇碧桂园世奥龙鼎住宅工程项目部资料室进行安全生产执法检查,在查阅软件资料时,发现该单位存在未按照规定制定生产安全事故应急救援预案一项安全生产隐患,我局执法人员下达了《责令限期整改指令书》,责令限期整改。",0.6,/,/,2020-05-13,2050-05-12,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
北京兴益得运输队,92110113L492681745,/,/,/,/,/,张*勇,身份证,京交法(13)字伍20051303,此行为违反了《中华人民共和国道路运输条例》第七十条第二款之规定,"北京兴益得运输队擅自改装已取得道路运输证车辆一案,此行为违反了《中华人民共和国道路运输条例》第七十条第二款之规定,根据《中华人民共和国道路运输条例》第七十条第二款之规定,应予处罚。",根据《中华人民共和国道路运输条例》第七十条第二款之规定,罚款,"2020年5月13日11时00分,杨东驾驶的京AHR711号货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、林桐树(执法证号:11310131)示证检查:该车取得普通货物道路运输证,运输货物为石头,从松山到小浮坨,在检查过程中,执法人员发现,该车在车厢两侧栏板原基础上加高了700毫米,这是属于擅自改装已取得道路运输证车辆的行为。此行为违反了《中华人民共和国道路运输条例》第七十条第二款之规定。以上违法事实有现场笔录、询问笔录、照片资料、证件复印件等予以佐证。当事人无陈述申辩意见。",0.8,/,/,2020-05-13,2020-05-13,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京鑫金运输户,92110229MA00FBT708,/,/,/,/,/,王*云,身份证,京交法(13)字稽20051505,违反了《北京市道路运输条例》第十三条第(五)项之规定。,"北京鑫金运输户未按规定携带驾驶员从业资格证驾驶京ACV250号京AS334挂货物运输车辆,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年5月15日9时00分,辛立军驾驶的京ACV250号京AS334挂号货物运输车辆,行驶至莲花滩收费站出口,经执法人员陈萌(执法证号:11310090)、刘玉山(执法证号:11310055)示证检查:该车取得普通货物道路运输证,驾驶空车,从昌平到延庆,该企业专业人员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-15,2020-05-15,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
天津熊远运输有限公司,91120222MA05Y81U0C,/,/,/,/,/,吕*苹,身份证,京交法(13)字伍20051501,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定,"天津熊远运输有限公司未按规定携带驾驶员从业资格证驾驶津C30500津CY090挂货物运输车辆一案,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项的规定,给予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年5月15日8时30分,李进文驾驶的津C30500津CY090挂货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、张铁钢(执法证号:11310028)示证检查:该车取得普通货物道路运输证,运输货物为钢坯,从内蒙到天津,该企业驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-15,2020-05-15,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
宁夏畅顺祥物流有限公司,91640100MA75X0RD2Y,/,/,/,/,/,贺*安,身份证,京交法(13)字伍20051702,此行为违反了《中华人民共和国道路运输条例》第三十三条之规定,"宁夏畅顺祥物流有限公司未按规定随车携带道路运输证一案,此行为违反了《中华人民共和国道路运输条例》第三十三条之规定,根据《中华人民共和国道路运输条例》第六十八条的规定,给予处罚。",根据《中华人民共和国道路运输条例》第六十八条的规定,罚款,"2020年5月17日8时30分,李维驾驶的宁AG5870 宁ADE67挂货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员张铁刚(执法证号:11310028)、林桐树(执法证号:11310131)、示证检查: 该车取得普通货物道路运输证,运输货物为双氰胺,从银川到天津,宁夏畅顺祥物流有限公司未按规定随车携带道路运输证。此行为违反了《中华人民共和国道路运输条例》第三十三条之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-17,2020-05-17,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京金源腾飞科技有限公司,91110111074163806F,/,/,/,/,/,李*元,身份证,京交法(13)字稽20051801,违反了《北京市道路运输条例》第十三条第(五)项之规定,"北京金源腾飞科技有限公司驾驶员运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年5月12日12时20分,李涛驾驶的京AJH616号货物运输车辆,行驶至延庆区康庄高速口,经执法人员付景腾(执法证号:11310126)、孙建伟(执法证号:11310036)示证检查:该车取得普通货物道路运输证,运输货物为饲料,从北京到河北,该企业驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-18,2020-05-18,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京金玉盛通运输有限公司,91110106MA007JC89X,/,/,/,/,/,岳*霞,身份证,京交法(13)字伍20051701,此行为违反了《中华人民共和国道路运输条例》第三十三条之规定,"北京金玉盛通运输有限公司未按规定随车携带道路运输证一案,此行为违反了《中华人民共和国道路运输条例》第三十三条之规定,根据《中华人民共和国道路运输条例》第六十八条的规定,给予处罚","根据《中华人民共和国道路运输条例》第六十八条的规定,",罚款,"2020年5月17日8时00分,陈兴东驾驶的京ABK202货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员张铁刚(执法证号:11310028)、林桐树(执法证号:11310131)、示证检查: 该车取得普通货物道路运输证,运输货物为杂物,从涿州到唐山,北京金玉盛通运输有限公司未按规定随车携带道路运输证。此行为违反了《中华人民共和国道路运输条例》第三十三条之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-17,2020-05-17,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京欣易达物流服务有限公司,91110112MA01PY5T6A,/,/,/,/,/,商*青,身份证,京交法(13)字伍20051802,此行为违反了《中华人民共和国道路运输条例》第三十三条之规定,"北京欣易达物流服务有限公司未按规定随车携带道路运输证一案,此行为违反了《中华人民共和国道路运输条例》第三十三条之规定,根据《中华人民共和国道路运输条例》第六十八条的规定,给予处罚","根据《中华人民共和国道路运输条例》第六十八条的规定,",罚款,"2020年5月18日9时50分,王大成驾驶的京AML835冀GE788挂货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员张铁刚(执法证号:11310028)、林桐树(执法证号:11310131)、示证检查: 该车取得普通货物道路运输证,运输货物为煤,从张家口到兴隆,北京欣易达物流服务有限公司未按规定随车携带道路运输证。此行为违反了《中华人民共和国道路运输条例》第三十三条之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-18,2020-05-18,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
张家口鑫航泰机动车服务有限公司,91130706MA082NCJX8,/,/,/,/,/,刘*山,身份证,京交法(13)字张山营202005,违反了《中华人民共和国道路运输条例》第七十条第(二)款之规定,"张家口鑫航泰机动车服务有限公司擅自改装已取得道路运输证车辆一案。此行为违反了《中华人民共和国道路运输条例》第七十条第(二)款之规定。根据《中华人民共和国道路运输条例》第七十条第(二)款的规定,应予处罚,建议立案调查。",《中华人民共和国道路运输条例》第七十条第(二)款,罚款,"2020年05月18日11时00分,李辉驾驶的京AKP668冀GTB13挂号货物运输车辆,行驶至延庆区松山路口,经执法人员王志军(执法证号:11310093)、郭建明(执法证号:11310180)示证检查:该车取得普通货物道路运输证,运输货物为石料,从张家口市怀来县到北京市昌平区,在检查过程中,执法人员发现,该车在车厢两侧原基础上加高了1980毫米,这是属于擅自改装已取得道路运输证车辆的行为。此行为违反了《中华人民共和国道路运输条例》第七十条第(二)款之规定。以上违法事实有现场笔录、询问笔录、照片资料、证件复印件等予以佐证。当事人无陈述申辩意见。",1.5,/,/,2020-05-18,2020-05-18,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京梧桐兴达运输有限公司,91110115MA01FT8J5G,/,/,/,/,/,王*,身份证,京交法(13)字伍20051804,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定,"北京梧桐兴达运输有限公司未按规定携带驾驶员从业资格证驾驶京AJB059号货物运输车辆,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定,根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年5月18日12时30分,银建军驾驶的京AJB059号货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、张铁钢(执法证号:11310028)示证检查:该车取得普通货物道路运输证,驾驶空车,从延庆到北京,该企业驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-18,2020-05-18,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京隆昌宏达建筑工程有限公司,91110229051383996L,/,/,/,/,/,王*涛,身份证,京交法(13)字伍20051901,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定,"北京隆昌宏达建筑工程有限公司公司未按规定携带驾驶员从业资格证驾驶京AFL725号货物运输车辆一案,此行为违反了《北京市道路运输条例》第十三条第(五)项之规定,根据《北京市道路运输条例》第五十七条第(三)项的规定,给予处罚。",根据《北京市道路运输条例》第五十七条第(三)项的规定,罚款,"2020年5月19日8时30分,唐殿坤驾驶的京AFL725号货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、张铁钢(执法证号:11310028)示证检查:该车取得普通货物道路运输证,驾驶空车,从延庆到昌平,该企业驾驶员在运营中未携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-19,2020-05-19,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
北京佳顺通达运输有限公司,91110115MA01GK130Y,/,/,/,/,/,马*,身份证,京交法(13)字伍20051803,此行为违反了《中华人民共和国道路运输条例》第三十三条之规定,"北京佳顺通达运输有限公司未按规定随车携带道路运输证一案,此行为违反了《中华人民共和国道路运输条例》第三十三条之规定,根据《中华人民共和国道路运输条例》第六十八条的规定,建议立案。",根据《中华人民共和国道路运输条例》第六十八条的规定,罚款,"2020年5月18日10时30分,马刚军驾驶的京AHN188货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员张铁刚(执法证号:11310028)、林桐树(执法证号:11310131)、示证检查: 该车取得普通货物道路运输证,驾驶空车,从涿州到大兴,北京佳顺通达运输有限公司未按规定随车携带道路运输证。此行为违反了《中华人民共和国道路运输条例》第三十三条之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-18,2020-05-18,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
河北乾造土石方工程有限公司,91130626MA0DRRMJ5F,/,/,/,/,/,袁*飞,身份证,京交法(13)字伍20052001,此行为违反了《中华人民共和国道路运输条例》第七十条第二款之规定,"河北乾造土石方工程有限公司擅自改装已取得道路运输证车辆,此行为违反了《中华人民共和国道路运输条例》第七十条第二款之规定,根据《中华人民共和国道路运输条例》第七十条第二款之规定,应予处罚。",根据《中华人民共和国道路运输条例》第七十条第二款之规定,罚款,"2020年5月20日10时00分,尹陆军驾驶的冀FU4138号货物运输车辆,行驶至延庆区张伍堡治超站,经执法人员赵静(执法证号:11310109)、林桐树(执法证号:11310131)示证检查:该车取得普通货物道路运输证,运输货物为洞渣,从延庆区小浮坨到昌平区,在检查过程中,执法人员发现,该车在车厢两侧栏板原基础上加高了870毫米,这是属于擅自改装已取得道路运输证车辆的行为。此行为违反了《中华人民共和国道路运输条例》第七十条第二款之规定。以上违法事实有现场笔录、询问笔录、照片资料、证件复印件等予以佐证。当事人无陈述申辩意见。",0.8,/,/,2020-05-20,2020-05-20,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
山东宇兴建设有限公司,913709007666506564,/,/,/,/,/,王*东,身份证,(京延)应急罚〔2020〕042号,安全生产资金投入类违法,"特种作业人员未按照规定经专门的安全作业培训并取得相应资格,上岗作业(1名从业人员),违反了《中华人民共和国安全生产法》第二十七条第一款的规定",依据《中华人民共和国安全生产法》第九十四条第(七)项的规定,罚款,"2020年5月15日10时35分,我局执法人员对该单位在北京市延庆区香水园街道希尔顿酒店项目机电加工车间进行安全生产执法检查,发现该单位存在特种作业人员未按照国家有关规定经专门的安全作业培训,取得相应资格上岗作业(1名焊工未取证)一项安全生产隐患,我局执法人员下达了《责令限期整改指令书》,责令限期整改。",0.6,/,/,2020-05-21,2050-05-20,/,北京市延庆区应急管理局,11110229764241445C,/,北京市延庆区应急管理局,11110229764241445C,/
天津玉胜达汽车贸易有限公司,91120222MA05U8TH0Q,/,/,/,/,/,苑*江,身份证,京交法(13)字张山营203005,违反了《北京市道路运输条例》第十三条第(五)项之规定,"天津玉胜达汽车贸易有限公司未按规定携带驾驶员从业资格证驾驶津C53952津DK099挂号货物运输车辆。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。根据《北京市道路运输条例》第五十七条第(三)项的规定,应予处罚。",《北京市道路运输条例》第五十七条第(三)项,罚款,"2020年05月20日15时00分,郭彦驾驶的津C53952津DK099挂号货物运输车辆,行驶至张山营综合检查站,经执法人员韩冰(执法证号:11310138)、李晓辉(执法证号:11310217)示证检查:该车取得普通货物道路运输证,运输货物为微硅粉,从宁夏回族自治区到天津市,该车企业驾驶员未按规定携带驾驶员《从业资格证》。此行为违反了《北京市道路运输条例》第十三条第(五)项之规定。以上违法事实有现场笔录、询问笔录、证件复印件等予以佐证。当事人无陈述申辩意见。",0.02,/,/,2020-05-20,2020-05-21,/,北京市延庆区交通局,1111022900011805X5,/,北京市延庆区交通局,1111022900011805X5,/
