项目名称,项目地址,建设单位,预售证号,发证时间,开发企业名称
昭泰典尚家园,孙河组团C地块,北京昭泰房地产开发有限公司,京房售证字( 2017 ) 44 号,20170429,北京昭泰房地产开发有限公司
瑞湾家园,孙河乡西甸村HIJ地块,北京正德兴合房地产开发有限公司,京房售证字( 2015 ) 48 号,20150530,北京正德兴合房地产开发有限公司
翡萃家园,北七家镇[中心起步区（海鶄落新村建设）项目一期]HQL-17地块,北京昌业房地产开发有限公司,京房售证字( 2016 ) 263 号,20161231,北京昌业房地产开发有限公司
泷悦长安嘉园,永定镇MC00-0020-0032,中电建西元（北京）房地产开发有限公司,京房售证字( 2016 ) 181 号,20160901,中电建西元（北京）房地产开发有限公司
叁空间家园,北小营中路（办公）,北京君龙房地产开发有限公司,京房售证字( 2005 ) 427 号,20050828,北京君龙房地产开发有限公司
华润九里,大兴区黄村镇卫星城北区17号地B区,华润置地开发（北京）有限公司,京房售证字( 2014 ) 65 号,20140413,华润置地开发（北京）有限公司
天珺和苑,三间房乡南区棚户区改造土地开发项目1202-0006地块R2二类居住用地,北京朝新善筑置业有限公司,京房售证字( 2025 ) 83 号,20250802,北京朝新善筑置业有限公司
泽信佳苑,桥南王庄子,北京丰南嘉业房地产开发有限公司,京房售证字( 2016 ) 197 号,20160922,北京丰南嘉业房地产开发有限公司
首城国际中心,广渠路36号（A1-1-b地块),北京首城置业有限公司,京房售证字( 2010 ) 232 号,20100930,北京首城置业有限公司
古北度假家园,古北口镇司马台村,北京古北水镇房地产开发有限公司,京房售证字( 2017 ) 25 号,20170322,北京古北水镇房地产开发有限公司
长滩庭苑,南邵镇,北京融创基业地产有限公司,京房售证字( 2011 ) 210 号,20111016,北京融创基业地产有限公司
 ,丰台区角门北路8号院1#综合楼,北京正旗房地产开发有限公司,京房售证字(2004)70号,20040304,北京正旗房地产开发有限公司
紫南华苑,旧宫镇绿隔地区建设旧村改造二期A1地块二类居住用地、商业金融用地项目,北京中冶名弘置业有限公司,京房售证字( 2015 ) 177 号,20151105,北京中冶名弘置业有限公司
龙樾雅苑,卢沟桥街道大井新村三期土地一级开发2505-0031地块,北京城建兴华地产有限公司,京房售证字( 2022 ) 95 号,20220712,北京城建兴华地产有限公司
紫芳园五区,方庄紫芳园五区,北京首开亿信置业股份有限公司,京房售证字( 2012 ) 265 号,20121122,北京首开亿信置业股份有限公司
紫南华苑,旧宫镇绿隔地区建设旧村改造二期A1地块二类居住用地、商业金融用地项目,北京中冶名弘置业有限公司,京房售证字( 2016 ) 75 号,20160529,北京中冶名弘置业有限公司
望都家园二期,北七家镇平坊村,北京泰格经济开发公司,京房售证字( 2008 ) 173 号,20080516,北京泰格经济开发公司
融科.橄榄家园,望京新城A2区,北京东环望京房地产有限公司,京房售证字( 2005 ) 408 号,20050825,北京东环望京房地产有限公司
兴城之星璟园,大兴新城西片区一期 A组团土地一级开发项目DX00-0407-0002地块 R2二类居住用地,北京兴城盛和建设发展有限公司,京房售证字( 2024 ) 78 号,20240909,北京兴城盛和建设发展有限公司
嘉悦中心,西红门镇,北京盛玺置业有限公司,京房售证字( 2013 ) 117 号,20130719,北京盛玺置业有限公司
钓鱼台花园小区,兴怀大街北侧,北京三鑫房地产开发有限公司,京房售证字(2005)136号,20050418,北京三鑫房地产开发有限公司
悦庭苑,首钢园区东南区土地一级开发项目1612-829地块F1住宅混合公建用地（配建“保障性租赁住房”）,北京鑫泰兴业房地产开发有限公司,京房售证字( 2022 ) 86号,20220626,北京鑫泰兴业房地产开发有限公司
瑞宸苑,西黄村棚户区改造土地开发项目1606-650地块,北京鑫安兴业房地产开发有限公司,京房售证字( 2025 ) 105 号,20250925,北京鑫安兴业房地产开发有限公司
瑞宸苑,西黄村棚户区改造土地开发项目1606-650地块,北京鑫安兴业房地产开发有限公司,京房售证字( 2025 ) 106 号,20250925,北京鑫安兴业房地产开发有限公司
中国生物技术中心,五棵松中国生物技术学术中心一期用地,北京生物产业孵化基地有限责任公司,京房售证字( 2007 ) 335 号,20070922,北京生物产业孵化基地有限责任公司
翡翠长安家园,永定镇MC00-0020-0012地块,北京捷海房地产开发有限公司,京房售证字( 2017 ) 117 号,20170921,北京捷海房地产开发有限公司
翡翠长安家园,永定镇MC00-0020-0012地块,北京捷海房地产开发有限公司,京房售证字( 2016 ) 247 号,20161201,北京捷海房地产开发有限公司
金泉花园,大屯里居住区东南部政泉花园（二期）,北京政泉置业有限公司,京房售证字( 2008 ) 305 号,20080817,北京政泉置业有限公司
茉莉园,海淀区东北旺乡西北旺新村二期G2地块,北京德成兴业房地产开发有限公司,京房售证字( 2005 ) 63 号,20050307,北京德成兴业房地产开发有限公司
怡朗佳园,北七家镇平坊村土地一级开发项目PF-05地块R2二类居住用地（配建“保障性租赁住房”）,北京怡畅置业有限公司,京房售证字( 2023 ) 152 号,20231229,北京怡畅置业有限公司
太合嘉园,东四环北路7号太合嘉园住宅小区宗地三,北京太合嘉园房地产开发有限责任公司,京房售证字( 2005 ) 88 号,20050325,北京太合嘉园房地产开发有限责任公司
云溪花园小区,溪翁庄镇,北京宁溪房地产开发有限责任公司,京房售证字( 2023 ) 76 号,20230622,北京宁溪房地产开发有限责任公司
龙樾雅苑,卢沟桥街道大井新村三期土地一级开发2505-0031地块,北京城建兴华地产有限公司,京房售证字( 2023 ) 156 号,20231229,北京城建兴华地产有限公司
天娇园,崇文区白桥大街东侧白桥危改小区（南区）,北京天华津政房地产开发有限公司,京房售证字( 2008 ) 472 号,20090102,北京天华津政房地产开发有限公司
白家疃观麓园,温泉镇中心区D1-D05地块,北京北辰实业股份有限公司,京房售证字( 2008 ) 278 号,20080724,北京北辰实业股份有限公司
瑨上雅园,宋庄镇双埠头村、大庞村、大兴庄村土地一级开发项目TZ03-0403-6023、6028地块,北京晋心房地产开发有限公司,京房售证字( 2024 ) 34 号,20240407,北京晋心房地产开发有限公司
风格与林苑,花乡黄土岗村黄土岗新村二期工程13#楼,北京元亨房地产开发有限公司,京房售证字( 2005 ) 357 号,20050730,北京元亨房地产开发有限公司
望都家园二期,北七家镇平坊村,北京泰格经济开发公司,京房售证字( 2010 ) 337 号,20101211,北京泰格经济开发公司
鑫苑景园,梨园镇翠景南里东区,北京睿豪荣通房地产开发有限公司,京房售证字( 2022 )197 号,20221222,北京睿豪荣通房地产开发有限公司
璟昫雅苑,顺义新城土地一级开发项目SY00-1101-0601地块R2类居住用地、顺义新城土地一级开发项目SY00-1101-0603地块R2类居住用地,北京保顺善筑置业有限公司,京房售证字( 2024 ) 36 号,20240415,北京保顺善筑置业有限公司
学仕苑,衙门口棚户区改造土地开发项目1616-670地块F1住宅混合公建用地,北京鑫石房地产开发有限公司,京房售证字( 2022 ) 179 号,20221107,北京鑫石房地产开发有限公司
鑫苑景园,梨园镇翠景南里东区,北京睿豪荣通房地产开发有限公司,京房售证字( 2022 ) 196 号,20221222,北京睿豪荣通房地产开发有限公司
世茂奥临家园,洼里乡,北京世茂投资发展有限公司,京房售证字( 2006 ) 167 号,20060513,北京世茂投资发展有限公司
腾飞园,马坊镇马坊工业区内,北京龙腾投资开发有限责任公司,京房售证字( 2013 ) 198 号,20131106,北京龙腾投资开发有限责任公司
云悦佳苑,北京市大兴区旧宫镇YZ00-0801-0015地块、北京市大兴区旧宫镇YZ00-0801-0016地块,北京和信仁泰置业有限公司,京房售证字( 2022 )开2号,20220507,北京和信仁泰置业有限公司
翡翠长安家园,永定镇MC00-0020-0012地块,北京捷海房地产开发有限公司,京房售证字( 2017 ) 177 号,20171224,北京捷海房地产开发有限公司
润泽梧桐小区,大兴新城西片区一期A、 B组团土地一级开发项目DX00-0406-0003、0011地块,北京兴城发展建设开发有限公司,京房售证字( 2025 ) 121 号,20251025,北京兴城发展建设开发有限公司
龙熙顺景,庞各庄镇工业区西侧京南绿色生态社区(D区）,北京龙熙顺景房地产开发有限责任公司,京房售证字( 2012 ) 95 号,20120526,北京龙熙顺景房地产开发有限责任公司
花香东苑,花乡白盆窑村1516-0665等地块,北京万信房地产开发有限公司,京房售证字( 2018 ) 165 号,20181118,北京万信房地产开发有限公司
惠通中心,通惠北路八里桥市场南侧,正元置业有限公司,京房售证字( 2018 ) 83 号,20180804,正元置业有限公司
将台水岸家园,将台乡驼房营村1016-34、40地块,北京亮马置业有限公司,京房售证字( 2018 ) 188 号,20181215,北京亮马置业有限公司
绿地花都嘉园,果园街道新西路东侧、城后街北侧,北京绿地京宏置业有限公司,京房售证字( 2011 ) 173 号,20110918,北京绿地京宏置业有限公司
禧福汇名苑,南磨房乡平乐园小区西一区、西二区,北京首驰昱达房地产开发有限公司,京房售证字( 2008 ) 344 号,20080921,北京首驰昱达房地产开发有限公司
A-50#住宅等203项,河南村西(百顺达别墅A区),北京百顺达房地产开发有限公司,京房售证字( 2008 ) 100 号,20080410,北京百顺达房地产开发有限公司
中海安德园,王四营乡观音堂村王四营新村地块三,北京亿利房地产开发有限公司,京房售证字( 2005 ) 330 号,20050717,北京亿利房地产开发有限公司
鹿港嘉苑,朝阳区南湖渠（嘉轩城市花园小区B2区）,北京嘉轩房地产开发有限公司,京房售证字(2004)523号,20041108,北京嘉轩房地产开发有限公司
八龙桥雅苑,桥梓镇前桥梓村（绿荫小镇）住宅项目(八龙桥雅苑5-30号楼),北京慧友房地产开发有限责任公司,京房售证字( 2008 ) 34 号,20080125,北京慧友房地产开发有限责任公司
万驰家园,漷县镇政府大街南侧（万景花园西部）、漷县镇政府大街南侧（万景花园东部）,北京华亿伟业房地产开发有限公司,京房售证字( 2008 ) 296 号,20080808,北京华亿伟业房地产开发有限公司
禧福汇名苑,南磨房乡平乐园小区西一区、西二区,北京首驰昱达房地产开发有限公司,京房售证字( 2008 ) 160 号,20080502,北京首驰昱达房地产开发有限公司
空港融慧园,顺义区天竺空港工业区B区,北京空港天瑞置业投资有限公司,京房售证字( 2008 ) 310 号,20080829,北京空港天瑞置业投资有限公司
康隆园,黄村卫星城北区24号地,北京华润曙光房地产开发有限公司,京房售证字( 2005 ) 191 号,20050521,北京华润曙光房地产开发有限公司
恒盛华庭,玉泉路玉海园小区四区住宅及配套,北京阳光鑫地置业有限公司,京房售证字( 2009 ) 328 号,20091001,北京阳光鑫地置业有限公司
鑫兆佳园,常营乡鑫兆佳园组团三1号楼－13号楼,北京城乡房屋建设开发有限责任公司,京房售证字( 2006 ) 174 号,20060519,北京城乡房屋建设开发有限责任公司
官园危改小区A栋公建,官园危改小区A栋公建,北京通程金海置业发展有限公司,京房售证字( 2004 ) 637 号,20041228,北京通程金海置业发展有限公司
安宁庄上第摩码园,西三旗清河南库D-4地块,北京当代房地产开发有限责任公司,京房售证字( 2006 ) 98 号,20060326,北京当代房地产开发有限责任公司
西山枫林园,八大处A区经济适用房一期四区29-30号楼配套、八大处A区经济适用房一期四区37-38号楼配套,北京东和伟业房地产开发有限公司,京房售证字( 2007 ) 47 号,20070210,北京东和伟业房地产开发有限公司
华龙苑北里,东小口镇霍营华龙苑小区二期A区,北京三江鸿泰房地产开发有限责任公司,京房售证字( 2007 ) 164 号,20070525,北京三江鸿泰房地产开发有限责任公司
鑫兆佳园,常营乡鑫兆佳园8、9号塔楼及地下车库,北京城乡房屋建设开发有限责任公司,京房售证字( 2005 ) 605 号,20051111,北京城乡房屋建设开发有限责任公司
空港吉祥花园,天竺空港工业区B区,北京空港天恒房地产开发有限公司,京房售证字( 2009 ) 112 号,20090502,北京空港天恒房地产开发有限公司
金润永信大厦,卢沟桥乡丽泽金融商务区F-05地块,首创朝阳房地产发展有限公司,京房售证字( 2016 ) 15 号,20160216,首创朝阳房地产发展有限公司
东领鉴筑家园(北京文教用品厂住宅楼及商业配套项目),朝阳区定福庄北街(北京文教用品厂住宅楼及商业配套项目),北京宝汇房地产开发有限责任公司,京房售证字(2004)391号,20040901,北京宝汇房地产开发有限责任公司
花溪语家园,兴寿镇半壁店村,北京升和房地产开发有限公司,京房售证字( 2015 ) 112 号,20150808,北京升和房地产开发有限公司
富力湾溪景花园,马坡镇香榭花园,北京地源达房地产开发有限公司,京房售证字( 2009 ) 89 号,20090418,北京地源达房地产开发有限公司
中海藏峰佳苑,西南郊冷库及周边城中村改造项目FT00-2404-0005地块,北京盈泽房地产开发有限公司,京房售证字( 2025 ) 52 号,20250520,北京盈泽房地产开发有限公司
中海藏峰佳苑,西南郊冷库及周边城中村改造项目FT00-2404-0005地块,北京盈泽房地产开发有限公司,京房售证字( 2025 ) 53 号,20250520,北京盈泽房地产开发有限公司
鸿华家园,朝阳区北苑拥军路北苑农场,北京东方鸿铭房地产开发有限公司,京房售证字(2004)570号,20041201,北京东方鸿铭房地产开发有限公司
美庐庄园,香山双新新村一期工程E地块,北京香山双新房地产有限公司,京房售证字( 2005 ) 227 号,20050423,北京香山双新房地产有限公司
京投银泰园,大红门西路26号,北京京投置地房地产有限公司,京房售证字( 2009 ) 396 号,20091122,北京京投置地房地产有限公司
远洋一方嘉园,管庄乡塔营村,北京中联置地房地产开发有限公司,京房售证字( 2007 ) 405 号,20071102,北京中联置地房地产开发有限公司
花溪语家园,兴寿镇半壁店村,北京升和房地产开发有限公司,京房售证字( 2020 ) 116 号,20200928,北京升和房地产开发有限公司
龙山新新家园,庙城镇龙山新新小镇二期项目4号地块,北京万通龙山置业有限公司,京房售证字( 2007 ) 372 号,20071014,北京万通龙山置业有限公司
富力湾溪景花园,马坡镇香榭花园,北京地源达房地产开发有限公司,京房售证字( 2009 ) 448 号,20100102,北京地源达房地产开发有限公司
橡树苑,水源路南侧,华润置地弘景（北京）房地产开发有限公司,京房售证字( 2014 ) 185 号,20140830,华润置地弘景（北京）房地产开发有限公司
空港融慧园,天竺空港工业区B区,北京空港天瑞置业投资有限公司,京房售证字( 2007 ) 302 号,20070831,北京空港天瑞置业投资有限公司
艺墅,长阳镇高佃二、三村,北京靠山居房地产开发有限公司,京房售证字( 2008 ) 37 号,20080126,北京靠山居房地产开发有限公司
珑原奥森中心,东小口镇CY-10地块,招商局嘉铭（北京）房地产开发有限公司,京房售证字( 2015 ) 221 号,20151213,招商局嘉铭（北京）房地产开发有限公司
兴隆家园,高碑店兴隆小区1－6号楼,北京天翌房地产开发有限责任公司,京房售证字( 2005 ) 111 号,20050406,北京天翌房地产开发有限责任公司
润枫领尚苑,台湖镇光机电一体化产业基地二期E地块居住项目,北京润通鸿业房地产开发有限责任公司,京房售证字( 2013 ) 183 号,20131013,北京润通鸿业房地产开发有限责任公司
大道尚庭,北京经济技术开发区景园北街2号,北京经开投资开发股份有限公司,京房售证字( 2010 ) 开5号,20101212,北京经开投资开发股份有限公司
长安锦和嘉苑,新城0604街区MC00-0604-0104-01地块,北京海赋锦业置业有限公司,京房售证字( 2024 ) 125 号,20241214,北京海赋锦业置业有限公司
建安里小区17#、18#楼,昌平区东关环岛,北京肆维基业房地产开发有限公司,京房售证字(2004)438号,20040923,北京肆维基业房地产开发有限公司
天溪园,北苑北辰居住区C3区,北京北辰实业股份有限公司,京房售证字( 2005 ) 494 号,20050924,北京北辰实业股份有限公司
碧桂园,长阳镇昊天北大街38号2-4#配套楼16#-28#住宅楼,北京市碧桂园房地产开发有限公司,京房售证字( 2006 ) 468 号,20061108,北京市碧桂园房地产开发有限公司
明德家园,后沙峪镇裕华路东侧,北京市安达房地产开发公司,京房售证字( 2013 ) 22 号,20130223,北京市安达房地产开发公司
开泰东里,亦庄镇三羊居住区三至五期居住/商业项目,北京金融街奕兴置业有限公司,京房售证字( 2008 ) 343 号,20080919,北京金融街奕兴置业有限公司
远洋新悦嘉园,管庄乡(B-7地块),北京中联置地房地产开发有限公司,京房售证字( 2010 ) 310 号,20101201,北京中联置地房地产开发有限公司
冠城大厦,太阳宫新区C区西部组团,北京冠城新泰房地产开发有限公司,京房售证字( 2009 ) 176 号,20090612,北京冠城新泰房地产开发有限公司
融泽府嘉园,真武庙五里,北京富景文化旅游开发有限责任公司,京房售证字( 2006 ) 432 号,20061021,北京富景文化旅游开发有限责任公司
碧桂园,长阳镇碧桂园温泉小区二期,北京市碧桂园房地产开发有限公司,京房售证字( 2005 ) 316 号,20050715,北京市碧桂园房地产开发有限公司
北京宝隆大厦,花乡南三环西路万柳桥西北侧商业及行政办公,北京宝龙蓝德房地产开发有限公司,京房售证字( 2008 ) 241 号,20080627,北京宝龙蓝德房地产开发有限公司
建邦华府嘉园,贾家花园3号,北京建工集团有限责任公司,京房售证字( 2007 ) 117 号,20070420,北京建工集团有限责任公司
建邦华府嘉园,贾家花园,北京建工集团有限责任公司,京房售证字( 2008 ) 57 号,20080302,北京建工集团有限责任公司
融泽府嘉园,北京市西城区真武庙五里,北京富景文化旅游开发有限责任公司,京房售证字( 2007 ) 264 号,20070729,北京富景文化旅游开发有限责任公司
工商联科技大厦,丰台区科技园区3A地块,北京金星房地产开发有限公司,京房售证字( 2005 ) 66 号,20050307,北京金星房地产开发有限公司
嘉州阳光苑,梨园镇（嘉州阳光苑C地块）,北京卓越房地产开发有限公司,京房售证字( 2009 ) 239 号,20090802,北京卓越房地产开发有限公司
东方玫瑰家园,梨园镇小街村 (自由小镇北区1号),北京君合百年房地产开发有限公司,京房售证字( 2012 ) 263 号,20121118,北京君合百年房地产开发有限公司
清逸园西区4#住宅楼,旧宫镇清逸园西区,北京京吉顺房地产开发有限公司,京房售证字( 2007 ) 155 号,20070519,北京京吉顺房地产开发有限公司
珠江华景家园,西大望路23号（珠江帝景E区）,北京合生北方房地产开发有限公司,京房售证字( 2007 ) 288 号,20070822,北京合生北方房地产开发有限公司
双花园,广渠门外大街31号（双花园小区15#地商业楼）,北京金隅嘉业房地产开发有限公司,京房售证字( 2008 ) 457 号,20081220,北京金隅嘉业房地产开发有限公司
清河嘉园,清河镇,北京强佑房地产开发公司,京房售证字( 2010 ) 19 号,20100122,北京强佑房地产开发公司
珠江华景家园,西大望路23号（珠江华景家园C区）,北京合生北方房地产开发有限公司,京房售证字( 2008 ) 38 号,20080126,北京合生北方房地产开发有限公司
亿城北旺雅苑,西北旺镇中关村软件园C6、C7、C8地块,北京亿城房地产开发有限公司,京房售证字( 2011 ) 88 号,20110619,北京亿城房地产开发有限公司
唐源云居,果园街道西路西侧,北京唐源房地产开发有限公司,京房售证字( 2013 ) 100 号,20130622,北京唐源房地产开发有限公司
京西商务中心,石景山区京西商务中心（西区）商业金融项目用地-2,北京金石融景房地产开发有限公司,京房售证字( 2015 ) 167 号,20151024,北京金石融景房地产开发有限公司
富力家园,广渠门外大街北侧富力城F地块,北京富力城房地产开发有限公司,京房售证字( 2005 ) 230 号,20050609,北京富力城房地产开发有限公司
东镇欣园,将台乡驼房营村将府家园二期（AC组团）,北京将台房地产开发有限公司,京房售证字( 2010 ) 148 号,20100701,北京将台房地产开发有限公司
住总山澜樾府,南辛堡村、民主村、百眼泉村棚户区改造项目YQ00-0309-0007地块R2二类居住用地,北京住总房地产开发有限责任公司,京房售证字( 2025 ) 128 号,20251110,北京住总房地产开发有限责任公司
开泰东里,亦庄镇三羊居住区三至五期居住/商业项目,北京金融街奕兴置业有限公司,京房售证字( 2008 ) 371 号,20081017,北京金融街奕兴置业有限公司
华声国际大厦,朝阳区雅宝路8号南,北京天居房地产有限公司,京房售证字(2003)216号,20040512,北京天居房地产有限公司
臻园,来广营乡土地储备项目B4地块,北京广盈房地产开发有限公司,京房售证字( 2013 ) 140 号,20130814,北京广盈房地产开发有限公司
天通泰科技园,北京经济技术开发区路东区D2街区,天通泰文化数码科技园有限公司,京房售证字( 2016 ) 开3号,20160520,天通泰文化数码科技园有限公司
清河嘉园,清河镇强佑清河新城3#地,北京强佑房地产开发有限公司,京房售证字( 2016 ) 70 号,20160525,北京强佑房地产开发有限公司
嘉州阳光苑,梨园镇（嘉州阳光苑B区）,北京卓越房地产开发有限公司,京房售证字( 2006 ) 418 号,20061001,北京卓越房地产开发有限公司
通景大厦,北京市石景山区苹果园交通枢纽商务区G地块商业金融项目,北京通润景园房地产开发有限公司,京房售证字( 2013 ) 43 号,20130405,北京通润景园房地产开发有限公司
云谷科技中心,北京市海淀北部地区整体开发中关村翠湖科技园HD-0302-194、HD-0302-223地块C2商业金融用地,绿地集团北京京浩置业有限公司,京房售证字( 2016 ) 90 号,20160608,绿地集团北京京浩置业有限公司
保利望京苑,崔各庄乡大望京村4号地（630地块）,北京保利营房地产开发有限公司,京房售证字( 2013 ) 47 号,20130411,北京保利营房地产开发有限公司
东方玫瑰家园,梨园镇小街村（自由小镇北区1号）,北京君合百年房地产开发有限公司,京房售证字( 2013 ) 76 号,20130525,北京君合百年房地产开发有限公司
林栖雅园,崔各庄乡奶西村棚户区改造土地开发项目29-318地块R2二类居住用地,北京智地兴凯房地产开发有限公司,京房售证字( 2022 ) 172号,20221024,北京智地兴凯房地产开发有限公司
君礼家园,地铁九号线花乡站造甲村土地一级开发项目FT00-1516-6031地块、地铁九号线花乡站造甲村土地一级开发项目FT00-1514-6039地块,北京跃泰置业有限公司,京房售证字( 2023 ) 12 号,20230224,北京跃泰置业有限公司
将府家园,朝阳区北京市朝阳区驼房营村,北京将台房地产开发有限公司,京房售证字(2004)628号,20041223,北京将台房地产开发有限公司
晟景汀澜嘉园,副中心FZX-0601-6014、6015、6016、6017地块,北京北投雅正房地产开发有限公司,京房售证字( 2023 ) 128 号,20231116,北京北投雅正房地产开发有限公司
汇景嘉园,窦店镇（沁园春景二期）（配建回迁安置房）居住项目用地,北京城建和泰房地产开发有限责任公司,京房售证字( 2013 ) 131 号,20130803,北京城建和泰房地产开发有限责任公司
京贸国际城,芙蓉路西侧,北京天旭运河房地产开发有限责任公司,京房售证字( 2010 ) 73 号,20100328,北京天旭运河房地产开发有限责任公司
增光写字楼,增光路33号办公楼,北京嘉裕润泽房地产开发有限公司,京房售证字( 2005 ) 628 号,20051126,北京嘉裕润泽房地产开发有限公司
新景家园四区5号楼,崇外大街五号地危改区新景家园四区4#、5#、8#、9#、一区2#楼、独立车库,北京崇文.新世界房地产发展有限公司,京房售证字( 2010 ) 11 号,20100114,北京崇文.新世界房地产发展有限公司
万年花城,丰台区花乡樊家村4#地,北京万年花城房地产开发有限责任公司,京房售证字(2004)345号,20040810,北京万年花城房地产开发有限责任公司
紫云家园,长阳镇起步区5号地,北京中粮万科房地产开发有限公司,京房售证字( 2015 ) 118 号,20150815,北京中粮万科房地产开发有限公司
美唐小区,回龙观镇F05住宅项目（南区）,北京城市开发集团有限责任公司,京房售证字( 2015 ) 29 号,20150416,北京城市开发集团有限责任公司
林荫家园,平谷镇建设西街24号,北京华鼎晟房地产开发有限公司,京房售证字( 2008 ) 352 号,20080927,北京华鼎晟房地产开发有限公司
湖畔雅居三期,朝阳区南湖南路10号F2区,北京法亚房地产开发有限公司,京房售证字( 2005 ) 54 号,20050224,北京法亚房地产开发有限公司
润景茗苑,来广营乡清河营村住宅及配套（2号地2-1地块）,北京春光置地房地产开发有限公司,京房售证字( 2010 ) 5 号,20100114,北京春光置地房地产开发有限公司
绿城．百合公寓,阎村镇绿城．百合公寓住宅小区二期59#~73#楼、16#~20#地下车库、67#、71#、73#楼裙房,北京阳光绿城房地产开发有限公司,京房售证字( 2009 ) 140 号,20090517,北京阳光绿城房地产开发有限公司
密云金融商业城,京承路南、旧密顺路东侧,北京福城源房地产开发有限公司,京房售证字( 2008 ) 425 号,20081130,北京福城源房地产开发有限公司
福源丽景家园,朝阳路太平庄甲3号高碑店乡,北京福源丽景房地产开发有限公司,京房售证字( 2006 ) 427 号,20061001,北京福源丽景房地产开发有限公司
远洋山水家园,石槽住宅、商业及配套E02、E03地块,远洋地产有限公司,京房售证字( 2013 ) 41 号,20130331,远洋地产有限公司
如缘居北里,西北旺镇,北京万湖房地产开发有限公司,京房售证字( 2013 ) 107 号,20130630,北京万湖房地产开发有限公司
芳源里小区,旧宫镇,北京军建利司达房地产开发有限公司,京房售证字( 2009 ) 156 号,20090527,北京军建利司达房地产开发有限公司
招商上苑,东八里庄危改小区住宅、办公、商业及地下车库,招商局地产(北京)有限公司,京房售证字( 2010 ) 71 号,20100327,招商局地产(北京)有限公司
华龙美树苑,三间房南里4号,北京首汽房地产开发公司,京房售证字( 2005 ) 359 号,20050730,北京首汽房地产开发公司
上院天恒公寓,东直门内大街民安危改小区二区,御嘉置地有限公司,京房售证字( 2006 ) 191 号,20060525,御嘉置地有限公司
方丹苑2#楼、3#楼,朝阳区朝阳区劲松七区29号,北京方恒置业股份有限公司,京房售证字(2004)479号,20041025,北京方恒置业股份有限公司
丽水莲花家园,广外大街三统碑危改小区5号楼、6-8号楼,北京市天叶房地产开发公司,京房售证字( 2008 ) 353 号,20080927,北京市天叶房地产开发公司
顺义东方太阳城,仁和镇河南村,北京东方太阳城房地产开发有限责任公司,京房售证字( 2008 ) 180 号,20080517,北京东方太阳城房地产开发有限责任公司
融域嘉园,洼里乡关西庄,北京建工集团有限责任公司,京房售证字( 2006 ) 159 号,20060518,北京建工集团有限责任公司
新干线家园,东小口镇霍营村新干线住宅小区E9#-E23#楼及E-1地下车库,北京新领域房地产开发有限公司,京房售证字( 2014 ) 246 号,20141108,北京新领域房地产开发有限公司
道丰科技商务园,丰台区桥南科技园二期,北京中关村丰台园道丰科技商务园建设发展有限公司,京房售证字(2003)309号,20031010,北京中关村丰台园道丰科技商务园建设发展有限公司
海鱼国际中心,十八里店乡小武基村福建产品市场A区,北京市福建产品市场有限公司,京房售证字( 2010 ) 25 号,20100124,北京市福建产品市场有限公司
京艺天朗雅园,玉桥东路58号富新园住宅小区二期,北京富新房地产开发有限责任公司,京房售证字( 2008 ) 149 号,20080501,北京富新房地产开发有限责任公司
金泰枫景园,石门村路一号,北京金泰恒业有限责任公司,京房售证字( 2007 ) 153 号,20070516,北京金泰恒业有限责任公司
保利垄上庄园,小汤山镇南侧（e代鹭洲居住区）,北京金成华房地产开发有限公司,京房售证字( 2010 ) 123 号,20100603,北京金成华房地产开发有限公司
招商上苑,东八里庄危改小区住宅、办公、商业及地下车库,招商局地产(北京)有限公司,京房售证字( 2012 ) 115 号,20120615,招商局地产(北京)有限公司
安宁华庭,东北旺乡安宁庄居易园住宅小区A区,北京上地房地产开发有限责任公司,京房售证字( 2011 ) 75 号,20110610,北京上地房地产开发有限责任公司
中信沁园,菜市口东南角大吉危改小区2号地,北京中信房地产有限公司,京房售证字( 2010 ) 352 号,20101215,北京中信房地产有限公司
晟品景园,仁和镇胡各庄村顺泰路西侧 ,北京首开中晟置业有限责任公司,京房售证字( 2019 ) 133 号,20191102,北京首开中晟置业有限责任公司
绿城．百合公寓,阎村镇绿城．百合公寓住宅小区二期74#~82#楼、21#地下车库、74#、76#、78#楼裙房、1#~5#商业楼 ,北京阳光绿城房地产开发有限公司,京房售证字( 2008 ) 151 号,20080501,北京阳光绿城房地产开发有限公司
伊林东苑,拱辰街道黄辛庄南里2号，3号,北京安顺园房地产开发有限公司,京房售证字( 2015 ) 228 号,20151226,北京安顺园房地产开发有限公司
文龙家园四里,小营（C8地块）,北京城建兴华地产有限公司,京房售证字( 2015 ) 174 号,20151031,北京城建兴华地产有限公司
创新园,昌平科技园（振兴路北侧）居住及配套（A-6-2）,北京金隅万科房地产开发有限公司,京房售证字( 2009 ) 194 号,20090621,北京金隅万科房地产开发有限公司
望坛新苑,安乐林路13地块,北京城建兴瑞置业开发有限公司,京房售证字( 2024 ) 83 号,20240918,北京城建兴瑞置业开发有限公司
金成府家园,梨园镇九棵树村居住项目用地地块,北京金隅大成开发有限公司,京房售证字( 2013 ) 97 号,20130616,北京金隅大成开发有限公司
长兴家园,长辛店镇张郭庄村长辛店北部居住区一期（南区）B-57块地,北京万年基业房地产开发有限公司,京房售证字( 2012 ) 90 号,20120526,北京万年基业房地产开发有限公司
